dlga_start:member_talk|네?
dlga_prisoner_chat:lady_prisoner_chat_2|당신은 내 포로요, 아가씨. 왜 나에게 맞서 무기를 들었지? 이제 어떻게 할까?
dlga_lady_prisoner_chat_2:do_lady_options|맙소사. {reg63?경:부인}, 전 생명의 위협을 느낄만큼 협박당했었어요. 제 운명을 당신의 손에 맡길테니 부디 자비를 바랍니다.
dlga_member_chat:lady_member_talk|반갑습니다. {reg63?나리:아가씨}. 구해주셔서 감사합니다.
dlga_lady_member_talk:lady_member_options|천만에요. 뭘 해드릴까요?
dlga_lady_member_options:do_lady_options|제 운명은 당신 손에 달려있군요.
dlga_do_lady_options:lady_end_talk|절 자유롭게 해주신다면 감사의 표시로 {s3} 관계가 호전될 거예요.
dlga_do_lady_options:lady_end_talk.1|제 몸값을 받을 수 있습니다. 하지만 {s3} 관계가 좋아보이진 않네요.
dlga_do_lady_options:lady_end_talk.2|200골드로 당신의 부대에 합류하여 함께 싸우겠습니다.
dlga_do_lady_options:lady_end_talk.3|나중에 대화해요.
dlga_lady_end_talk:close_window|바라시는 대로
dlga_start:close_window.1|{s54}
dlga_start:close_window.2|이 사람은 바빠 보이네.
dlga_start:close_window.3|이 사람은 바빠 보이네.
dlga_start:magic_weapon_dialogue_1|순풍이 당신에게 불기를! 무슨 일로 알-아지즈 광산에 왔습니까?
dlga_start:magic_weapon_3a|순풍이 당신에게 불기를! 알-아지즈 광산에 다시 온 것을 환영합니다.
dlga_magic_weapon_dialogue_1:magic_weapon_2|용서하십시오.난 이 장소를 발견하고 여행하러 왔습니다. 당신은 누구시길래 미친 노인처럼 이 곳에 있는 겁니까?
dlga_magic_weapon_2:magic_weapon_a2|난 오랜시간동안 온갖 이름으로 불리어왔소. 흠.. 당신은 날 하미다론으로 불러도 좋소. 딱 괜찮은 이름인 것 같지 않소? 내가 여기서 무엇을 하냐고? 맞아, 난 손님을 기다리고 있지. 당신은 손님이오?
dlga_magic_weapon_a2:magic_weapon_a3a|당신이 그렇게 불리고 싶다면야. 제가 손님인지 아닌지는 모르겠습니다만....여기서 무엇을 팔고 계십니까?
dlga_magic_weapon_3a:magic_weapon_a3a|팔고 있는 것을 보여주세요.
dlga_magic_weapon_a3a:magic_weapon_a3|난 인간의 손으로 만들 수 없는 보물을 팔고있소. 아주 소수만이 내가 원하는 것을 가지고 있지. 내가 제안하는 것을 볼 수 없다면, 지금은 당신을 위한 시간이 아니니 나중에 다시와야 할 것이오. (쿠알리스 보석&금괴 필요)
dlga_magic_weapon_a3:close_window|난 룬 도끼를 원합니다.
dlga_magic_weapon_a3:close_window.1|난 룬 양손검을 원합니다.
dlga_magic_weapon_a3:close_window.2|난 룬 한손검을 원합니다.
dlga_magic_weapon_a3:close_window.3|난 룬 글레이브(폴암)를 원합니다.
dlga_magic_weapon_a3:close_window.4|난 룬 활을 원합니다.
dlga_magic_weapon_a3:close_window.5|고맙소.난 이만 가봐야겠소.
dlga_start:magic_azziz_1|응? 두려워말고 이리오시오. 한 발자국씩.. 좋아, 좋아. 비밀을 알려주겠소. 잘 새겨들으시오. 하! 쿠알리스 보석과 큰 주머니의 다이아몬드를 찾아 들고 오시오. 룬 무기를 가지고 온 뒤에 이야기해보세. 그래. 오게되면 반드시 와인을 가져와. 난 와인을 좋아해. (* 해당 아이템을 착용하지 말고 인벤토리에 보관)
dlga_magic_azziz_1:close_window|비밀? 보석과 다이아몬드를 와인이랑 가지고 오라고? 완전 헛소리를! 나는 더 중요한 일이 있으니 잘 있으시오.
