
fac_no_faction|무소속
fac_commoners|평민
fac_outlaws|무법자
fac_neutral|중립
fac_innocents|청년단
fac_merchants|상인조합
fac_culture_1|살레온
fac_culture_2|레이븐스턴
fac_culture_3|드'샤르
fac_culture_4|파이어즈베인
fac_culture_5|바쿠스
fac_culture_6|고대의 왕들
fac_player_faction|자국 세력
fac_player_supporters_faction|펜도르 왕국
fac_kingdom_1|살레온 왕국
fac_kingdom_2|레이븐스턴 왕국
fac_kingdom_3|드'샤르 공국
fac_kingdom_4|파이어즈베인
fac_kingdom_5|바쿠스 제국
fac_militia|의용군
fac_deserters|탈영병 집단
fac_mountain_bandits|신비산 도적단
fac_forest_bandits|숲도적단
fac_rebel_peasants|농민 반란군
fac_dshar_raiders|드'샤르 도적단
fac_noldor_elves|놀도르 엘프족
fac_barclay|바클레이
fac_cb5_background|뒷세계의 적들
fac_mettenheim|메텐하임
fac_veccavia|베카비아
fac_melitine|멜리틴 제국
fac_vanskerry|반스케리 해적
fac_adventurers|모험가 조직
fac_robber_knights|떠돌이 기사들
fac_mett_renegades|메텐하임 배신자들
fac_jatu|자투족
fac_red_brotherhood|붉은 형제단
fac_mystmountain|신비산 부족민
fac_singalians|싱갈족
fac_heretics|이교도
fac_snake_cult|사교도
fac_inquisition|이단 심문단
fac_dragon_knights|드래곤의 기사단
fac_lion_knights|사자의 기사단
fac_immortal_knights|바쿠스 불멸자
fac_windriders_knights|드'샤르 바람기수
fac_valkyrie_knights|발키리 자매단
fac_griffon_knights|그리폰의 기사단
fac_falcon_knights|매의 기사단
fac_raven_knights|큰까마귀 창의 기사단
fac_radiant_knights|광휘의 십자가 기사단
fac_clarion_knights|나팔부름 기사단
fac_dawn_knights|새벽의 기사단
fac_ebony_knights|흑단 장갑의 기사단
fac_shadow_knights|그림자 군단
fac_silvermist_knights|은빛안개 순찰단
fac_eventide_knights|밤의 기사단
fac_phoenix_knights|불사조의 기사단
fac_shadowwolves_knights|그림자 늑대들
fac_scorpion_assassin_knights|전갈 암살단
fac_kraken_knights|크라켄 광신자단
fac_noldor_castle|놀도르
