menu_start_game_0|모험자여, 펜도르의 예언에 오신것을 환영합니다!^게임을 시작하려면 우선 캐릭터를 생성해야만 합니다.^^신중하게 선택해 주세요. 당신이 선택한 성장배경은 펜도르에서 겪게될 일들에 큰 영향을 끼칠 수 있습니다.
mno_continue|계속...
mno_go_back|뒤로 가기
menu_start_phase_2|신의 은총으로 펜도르에 당도했습니다. 이곳은 150년 동안 지속적인 분쟁으로 황폐화되었습니다. 당신은 악의 세력을 막아내고, 옛 왕국의 세력을 모아 재결합함으로서, 예언자 마디간이 예언한 펜도르의 예언을 성취해야 합니다.^^이 곳은 크고 작은 많은 세력들이 서로 패권을 다투는 위험한 대륙입니다. 용감한 기사도 있지만 어둠에 물든 비열한 암살자들도 있을겁니다. 이곳에서 당신은 고귀함과 명예, 그리고 속임수와 기만도 발견하게 될 것입니다.^^새로운 시작을 위해 당신의 기존의 중세시대에 대한 상식들은 잠시 접어두십시오. 펜도르는 기존의 중세시대와는 달리 여성과 남성이 성공하거나 실패하는데 동등한 기회를 가집니다.^^당신이 성공한다면, 그것은 당신이 무한한 현실이라는 공간 속에서, 새로운 가능성을 만들고, 또 다른 운명을 받아들인 것을 의미합니다. 여러분의 결정이 운명의 새로운 흐름을 만들어낼 것이고, 당신의 선택이 우리 모두를 구원할 가능성을 제공해줄 것입니다.
mno_town_1|살레온 왕국의 살레온으로 가는 마차에 합류한다.
mno_town_2|레이븐스턴 왕국의 레이븐스턴으로 가는 마차에 합류한다.
mno_town_3|드'샤르 공국의 토바로 향하는 마차에 합류한다.
mno_town_4|파이어즈베인의 야빅스홀름으로 가는 배에 탑승한다.
mno_town_5|바쿠스 제국의 야노스로 가는 배에 탑승한다.
mno_pop_cheat|[TEST] Just let me play!
menu_start_game_3|당신의 이야기를 선택하세요 :
menu_tutorial|당신은 지역 훈련소에 접근했습니다.^여기서는 전투 기술을 향상시킬 연습을 할 수 있습니다.
mno_go_back_dot|뒤로 가기
menu_reports|{playername}의 명성/명망 : {reg5}^ ^명예 등급 : {reg6}^소비한 명망 : {reg9}^명예 병종에 필요한 최소 명망 : {reg10}^^부대 사기 : {reg8}^부대 크기 제한 : {reg7}^
mno_action_view_troop_trees|병종 도감
mno_view_character_report|{playername} 보고서
mno_view_party_size_report|병력 상한 보고서
mno_view_morale_report|부대 사기 보고서
mno_view_weekly_budget_report|주간 회계 문서
mno_view_center_income_report|영지 현황
mno_view_victory_condition_report|승리 조건
mno_view_achievement_report|업적 현황
mno_view_faction_relations_report|세력 관계
mno_view_npc_mission_report|동료 임무 보고서
mno_lord_relations|영주들과의 관계
mno_courtship_relations|구애 관계
mno_action_view_world_map|펜도르 지도
mno_resume_travelling|여행 계속하기
menu_custom_battle_scene|(NO TRANS)
