xstr_no_string|NO STRING!
str_empty_string| 
str_yes|네
str_no|아니오
str_blank_string| 
str_noone|아무도 없음
str_s50_and_s51|{s50}, {s51}
str_s52_and_s51|{s52}, {s51}
str_s5_s_party|{s5}의 부대
str_given_by_s1_at_s2|Given by {s1} at {s2}
str_given_by_s1_in_wilderness|Given by {s1} whilst in the field
str_s7_raiders|{s7} 약탈자들
str_bandits_eliminated_by_another|문제를 일삼던 도적들은 다른 부대에 의해 전멸했습니다.
str_msg_battle_won|전투에서 승리했습니다!^Tab 키를 누르면 전장에서 떠납니다...
str_msg_battle_won0|아군이 승리를 거두었습니다.^Tab 키를 누르면 전장에서 떠납니다...
str_msg_battle_won1|적들이 물러갑니다.^Tab 키를 누르면 전장에서 떠납니다...
str_msg_battle_won2|적들을 박살냈습니다!^Tab 키를 누르면 전장에서 떠납니다...
str_msg_battle_won3|전장에서 승리했습니다!^Tab 키를 누르면 전장에서 떠납니다...
str_msg_battle_won4|최후의 적까지 모두 쓰러졌습니다. 운명의 여신이 미소를 보냅니다! Tab 키를 누르면 전장에서 떠납니다...
str_msg_battle_won5|모든 적군이 쓰러졌습니다!^Tab 키를 누르면 전장에서 떠납니다...
str_msg_battle_won6|오늘의 승리를 쟁취했습니다!^Tab 키를 누르면 전장에서 떠납니다...
str_msg_battle_won7|더 이상 저항하는 적군이 없습니다!^Tab 키를 누르면 전장에서 떠납니다...
str_msg_battle_won8|승리는 당신의 것입니다!^Tab 키를 누르면 전장에서 떠납니다...
str_tutorial_map1|펜도르의 예언 v3.9.4에 온 것을 환영합니다. 본 저작물에 대한 수정은 승인되지 않으며 모든 지적 재산권은 보호됩니다. 한글화에 힘써준 카페회원 분들에게 대신해 감사함을 전합니다. 해당 자료의 출처는 네이버 마운트 앤 블레이드 공식 카페입니다. http://cafe.naver.com/warband
str_randomize|무작위로 고르기
str_charge|문장
str_color|색상
str_flip_horizontal|상하 뒤집기
str_flip_vertical|좌우 뒤집기
str_hold_fire|사격 중지
str_blunt_hold_fire|둔기 / 사격중지
str_tutorial_ammo_refilled|탄약이 다시 지급되었습니다.
