
ip_reference_buildings_1|참조: 건축물 1
ip_reference_buildings_1_text|-대장간-^  건설 가능 장소: All. 건설 기본 비용: 5000.^  필요 섭정 스킬: 전술 2, 상술 3.^대장간은 5만큼의 수입을 증가시키며 5%의 번영도를 증가시킵니다.^^-건축검사원-^  건설 가능 장소: Town. 건설 기본 비용: 7000.^  필요 섭정 스킬: 전술 2, 감지 2.^건축검사원은 수입 2와 번영도 3% 그리고 관계도를 1 증가시킵니다.^^-대성당-^  건설 가능 장소: Town. 건설 기본 비용: 20000.^  필요 섭정 스킬: 기계공 5, 지도력 5, 설득 6.^대성당은 수입 20과 번영도 20%와 관계도를 10 증가시킵니다.^^-예배당-^  건설 가능 장소: Castle, Town. 건설 기본 비용: 1000.^  필요 섭정 스킬: 설득 3, 지도력 3.^예배당은 수입 5를 증가시킵니다.^^-교회-^  건설 가능 장소: All. 건설 기본 비용: 7000.^  필요 섭정 스킬: 설득 5, 기계공 3, 지도력 5.^교회는 수입 5와 번영도 10%와 관계도를 5 증가시킵니다. 또한 귀족들이 당신에게 합류하도록 도와줍니다.^^-시민 순찰대-^  건설 가능 장소: Town. 건설 기본 비용: 800.^  필요 섭정 스킬: 감지 2, 추적 2, 전술 1.^시민 순찰대는 수입 1%과 번영도 2%와 관계도 5를 증가시킵니다.^^-법원제도-^  건설 가능 장소: Town. 건설 기본 비용: 8000.^  필요 섭정 스킬: 포로관리 2, 전술 4, 설득 5.^법원제도는 수입 5와 번영도 10% 그리고 관계도를 5 증가시킵니다.^^-윤작-^  건설 가능 장소: Village. 건설 기본 비용: 5000.^  필요 섭정 스킬: 재고 관리 4, 전술 3.^윤작은 수입 20과 번영도 5%를 증가시킵니다.^^-소방관-^  건설 가능 장소: All. 건설 기본 비용: 3000.^  필요 섭정 스킬: 길찾기 2, 감지 2.^소방관은 번영도 5%와 관계도 3를 증가시킵니다.^^-양식장-^  건설 가능 장소: Village. 건설 기본 비용: 6000.^  필요 섭정 스킬: 기계공 1, 감지 2.^양식장은 번영도 10%와 수입을 10 증가시킵니다.^^-숲지기-^  건설 가능 장소: Village. 건설 기본 비용: 3000.^  필요 섭정 스킬: 추적 4, 길찾기 3.^숲지기들은 나무와 자원을 캐옵니다.번영도 5%와 수입5를 증가시킵니다.^^-약초가게-^  건설 가능 장소: Village. 건설 기본 비용: 5000.^  필요 섭정 스킬: 응급치료 3, 상처치료 3.^약초가게는 지역사회 건강에 도움을 주어 번영도 10%와 관계도를 5 증가시킵니다.^^-병원-^  건설 가능 장소: Town. 건설 기본 비용: 10000.^  필요 섭정 스킬: 전술 3, 수술 5, 설득 3.^병원은 수입 5와 번영도 10%와 관계도를 5 증가시킵니다.^^-수렵꾼 집회소-^  건설 가능 장소: Village. 건설 기본 비용: 3000.^  필요 섭정 스킬: 추적 3, 길찾기 3.^수렵꾼 집회에서 샤냥꾼 파티를 보내서 수입 5와 번영도 10%를 증가시킵니다.^^-포장도로-^  건설 가능 장소: All. 건설 기본 비용: 10000.^  필요 섭정 스킬: 기계공 3, 길찾기 4.^포장도로는 수입 5와 번영도 20%와 관계도 2를 증가시킵니다.^^-점등원-^  건설 가능 장소: Town. 건설 기본 비용: 1000.^  필요 섭정 스킬: 길찾기 2.^점등원은 번영도를 2%, 관계도를 2 증가시킵니다.^^-장원-^  건설 가능 장소: Village. 건설 기본 비용: 8000.^  필요 섭정 스킬: 기계공 2.^장원은 당신이 마을에서 쉴수 있게 해주며, 번영도를 10% 그리고 기본 수입을 10 증가시킵니다.^^-시장-^  건설 가능 장소: Village, Castle. 건설 기본 비용: 10000.^  필요 섭정 스킬: 설득 2, 상술 5, Looting 2.^시장은 번영도 50%와 기본 수입을 50 증가시킵니다.^^-전령 초소-^  건설 가능 장소: All. 건설 기본 비용: 4000.^  필요 섭정 스킬: 기계공 2, 길찾기 2.^전령 초소는 적이 마을 근처에 접근했을때, 당신에게 메세지를 보냅니다. 그리고 마을과의 관계도를 5 증가시켜 줍니다^^-광산-^  건설 가능 장소: All. 건설 기본 비용: 3000.^  필요 섭정 스킬: 기계공 4, 전술 3, 상술 4.^광산을 만들면 자원조사를 통해 발견한 미네랄만큼의 수입이 증가되며 번영도를 5% 증가시킵니다.^^-수도원-^  건설 가능 장소: All. 건설 기본 비용: 5000.^  필요 섭정 스킬: 설득 4, 훈련교관 4.^수도원은 수입 5와 번영도 5%와 관계도를 5 증가시킵니다.^^-길드 설립-^  건설 가능 장소: Town. 건설 기본 비용: 15000.^  필요 섭정 스킬: 상술 5, 전술 5, 설득 5.^길드를 설립하는 것은 수입을 50, 그리고 번영도를 25% 증가시킵니다.^^-감옥탑-^  건설 가능 장소: Castle, Town. 건설 기본 비용: 7000.^  필요 섭정 스킬: 기계공 2, 포로관리 2.^감옥탑은 포로들이 탈출할 확률을 줄여줍니다.
ip_reference_buildings_2|참조: 건축물 2
ip_reference_buildings_2_text|-자원조사-^  건설 가능 장소: All. 건설 기본 비용: 1000.^  필요 섭정 스킬: 기계공 1, 감지 1.^근처의 광물자원을 찾기 위해 지질학자를 파견합니다.^^-벌초꾼-^  건설 가능 장소: Village. 건설 기본 비용: 7000.^  필요 섭정 스킬: 재고 관리 2.^벌초꾼은 수입 4와 번영도 4%를 증가시킵니다.^^-위생제도-^  건설 가능 장소: All. 건설 기본 비용: 3000.^  필요 섭정 스킬: 전술 3, 기계공 2, 감지 2.^위생제도는 수입 2와 번영도 2%와 관계도 5를 증가시킵니다.^^-학교-^  건설 가능 장소: Village. 건설 기본 비용: 9000.^  필요 섭정 스킬: 훈련교관 2.^학교는 매주 관계도를 1씩 증가시킵니다..^^-보안관-^  건설 가능 장소: Village. 건설 기본 비용: 5000.^  필요 섭정 스킬: 훈련교관 3, 추적 2, 전술 3.^질서와 법의 수호자인 보안관은 번영도를 10%, 관계도를 5 증가시킵니다. 주변에 도적 발생이 줄어들고 순찰대를 보냅니다.^^-성지-^  건설 가능 장소: All. 건설 기본 비용: 3000.^  필요 섭정 스킬: 설득 3, 상처치료 3.^성지는 번영도 5%와 관계도를 5 증가시킵니다. 그리고 귀족들이 당신에게 합류합니다.^^-장인-^  건설 가능 장소: All. 건설 기본 비용: 6000.^  필요 섭정 스킬: 설득 2, 전술 3, 상술 4.^장인은 번영도 20%와 수입 100을 증가시킵니다. 또한 자체적으로 매주 건물을 수리합니다. 세무서가 있어야 건설 가능합니다.^^-거리 청소부-^  건설 가능 장소: Town. 건설 기본 비용: 2000.^  필요 섭정 스킬: 추적 2.^거리 청소부는 번영도 3%와 관계도 3을 증가시킵니다.^^-세무서-^  건설 가능 장소: All. 건설 기본 비용: 2000.^  필요 섭정 스킬: Looting 3.^세무서는 수입 10을 증가시키지만 번영도 10%와 관계도 2를 감소시킵니다.^^-도둑길드-^  건설 가능 장소: Town. 건설 기본 비용: 10000.^  필요 섭정 스킬: Looting 5, 전술 5, 설득 2.^도둑길드는 붉은 형제단을 불러들여 수입 20과 번영도 15%를 증가시킵니다. 하지만 관계도를 10 감소시킵니다.^^-도시 관원-^  건설 가능 장소: Town. 건설 기본 비용: 500.^  필요 섭정 스킬: 감지 2.^도시 관원은 수입 1과 번영도 2%와 관계도 1를 증가시킵니다.^^-연병장-^  건설 가능 장소: Castle, Town. 건설 기본 비용: 8000.^  필요 섭정 스킬: 훈련교관 4, 무기숙련 5.^연병장은 수입을 3 증가시키며, 주둔군을 훈련시킬수 있습니다. 그리고 귀족을 모집할 수 있게 합니다.^^-대학-^  건설 가능 장소: Town. 건설 기본 비용: 10000.^  필요 섭정 스킬: 기계공 4, 훈련교관 5, 설득 4.^대학은 수입 10와 번영도 10%와 관계도를 5 증가시킵니다.^^-창고-^  건설 가능 장소: Town. 건설 기본 비용: 3000.^  필요 섭정 스킬: 재고 관리 4, 상술 2.^창고는 수입5와 번영도 5%를 증가시킵니다.^^-감시탑-^  건설 가능 장소: Village. 건설 기본 비용: 5000.^  필요 섭정 스킬: 기계공 1, 감지 2.^감시탑은 경보를 더 빨리 울리게 합니다. 약탈시간을 25% 지연시킵니다. 마을과의 관계도가 5 증가합니다.^^-우물 청소부-^  건설 가능 장소: Town. 건설 기본 비용: 2500.^  필요 섭정 스킬: 감지 2.^우물 청소부는 수입 2와 번영도 2%와 관계도를 2를 증가시킵니다.^^-양조장-^  건설 가능 장소: Village, Castle. 건설 기본 비용: 8000.^  필요 섭정 스킬: 설득 3, 응급치료 2, 전술 4.^양조장은 수입 50과 번영도 5% 관계도를 3 증가시킵니다.
ip_reference_orders|참조: 기사단
ip_reference_orders_text|-용의 기사단-^  조건: 레이븐스턴 문화권이나 레인 도시를 보유, 15 명예, 25000 디나르^  Existing chapter: Rane^  Possible chapter: Ravenstern^  Trains Knights of the Dragon from Ravenstern Knights.^^-사자의 기사단-^  조건: Player embraces the Sarleon Culture or in Sarleon, Honor 10, 30000 denars^  Existing chapter: Sarleon^  Possible chapter: Marleons^  Trains Knights of the Lion from Sarleon Knights.^^-불멸자-^  조건: Player embraces the Empire Culture or in Janos, Honor 10, 25000 denars^  Existing chapter: Janos^  Possible chapter: Ethos^  Trains Empire Immortals from Empire Knights.^^-바람기수-^  조건: Player embraces the D'Shar Culture or in Torbah, Honor 10, 25000 denars^  Existing chapter: Torbah^  Possible chapter: Nal Tar^  Trains D'Shar Windriders from D'Shar Noble Cavalry.^^-발키리-^  조건: Player embraces the Fierdsvain Culture or in Javiksholm, Honor 10, 30000 denars^  Existing chapter: Javiksholm^  Trains Lady Valkyries from Fierdsvain Hersirs.^^-그리폰의 기사단-^  조건: Sir Darlion of Pendor in party or your character received letter from father or a Qualis Gem if player embraces the Old Pendor Culture, Honor 20, 25000 denars^  Trains Knights of the Griffon from Pendor Knights.^^-매의 기사단-^  조건: Madame Ursula or Sir Rayne in party, Honor 15, 25000 denars^  Possible chapter: Falcondark Castle^  Trains Knights of the Falcon from Maiden Adventures.^^-큰까마귀 창의 기사단-^  조건: Player owns Poinsbruk, Honor 5, 25000 denars^  Existing chapter: Poinsbruk^  Possible chapter: Avendor^  Trains Knights of the Raven Spear from Ravenstern Knights.^^-광휘의 십자가 기사단-^  조건: Player owns Ethos, Honor 20, 25000 denars^  Trains Knights of the Radiant Cross from Pendor Knights.^^-나팔부름 기사단-^  조건: Player embraces the Sarleon Culture or owns Laria, Honor 10, 25000 denars^  Existing chapter: Laria^  Trains Rangers of the Clarion Call from Sarleon Knights.^^-새벽의 기사단-^  조건: Player owns Valonbray, Honor 20, 25000 denars^  Existing chapter: Valonbray^  Trains Knights of the Dawn from Pendor Knights.^^-흑단 장갑 기사단-^  조건: A Qualis Gem, Honor 5, 20000 denars^  Possible chapter: Avendor^  Trains Knights of the Ebony Gauntlet from Pendor Foot Knights.^^-그림자 군단-^  조건: A Qualis Gem, Honor 10, 20000 denars^  Existing chapter: Cez^  Trains Shadow Legion Centurions from Empire Knights.^^-은빛안개 순찰단-^  조건: A Qualis Gem, Honor 20, 20000 denars^  Possible chapter: Senderfall^  Trains Silvermist Rangers from Pendor Black Archers.^^-밤의 기사단-^  조건: Sir Alistair in party, Honor -20 or less, 30000 denars^  Existing chapter: Singal^  Trains Knights of Eventide from Pendor Knights.^^-불사조의 기사단-^  조건: A Qualis Gem, Honor 15, 20000 denars^  Existing chapter: Calendain Castle or Maras Castle or Almerra Castle^  Trains Knights of the Phoenix from Empire Knights.^^-그림자 늑대단-^  조건: A Qualis Gem, Honor 10, 20000 denars^  Existing chapter: Walven Castle or Savador Castle or Oregar Castle^  Trains Shadow Wolves from Empire Knights.^^-전갈 암살단-^  조건: A Qualis Gem, Honor 5, 20000 denars^  Existing chapter: Ishkoman^  Trains Scorpion Assassins from D'Shar Noble Cavalry.^^-크라켄 광신자단-^  조건: A Qualis Gem, Honor 15, 20000 denars^  Existing chapter: Windholm^  Trains Kraken Riddarar from Fierdsvain Hersirs.^^-개인 기사단-^  조건: A Qualis Gem, Honor 30, 20000 denars^  Trains Order Knights from Knights of your culture.^^
ip_morale|워밴드: 사기
ip_morale_text|병사들이 전투와 행군에 대한 긴장과 압박을 이겨내기 위해서는 인내력과 용기, 훈련이 필요합니다. 사기는 부대에 속한 병사들의 이같은 능력과 행동력을 나타내주는 척도라 할 수 있고 이는 병사들의 행복감과는 다릅니다. 충분히 훈련받은 훌륭한 병사는 출정 도중 힘들때마다 투덜대거나 우는 소리를 하겠지만 정작 화살이 날아오기 시작하면 서로 뭉치게 될 것입니다. 반면에 원하는 대로 다 들어주는 지휘관 휘하의 병사들은 적들이 돌격해 오기도 전에 무너지고 도망치게 될 것입니다.^^ 사기의 가장 큰 효과는 전투시의 행동에서 나타납니다. 사기에 따라 병사들은 전투가 그들에게 불리하다는 사실을 눈치 챘을 때, 그들의 적을 향해 사납게 달려들기도 하고 전선을 이탈하여 줄행랑을 치기도 합니다. 사기는 부대의 행군 속도에도 영향을 미칩니다. 의욕이 떨어진 병사는 육체적 한계가 일찍 찾아오고, 낙오한 병사들을 기다리기 위한 시간이 많아질수록 부대의 속도는 느려질 수 밖에 없습니다. 마지막으로, 사기가 매우 낮은 부대는 탈영병이 속출하여 고생하게 될 것입니다.^^ 사기에 영향을 주는 몇몇 요인들은 매우 직관적입니다. 예를 들어, 매번 이어지는 승리로 명성이 높은 뛰어난 지휘관은 병사들에게 충분한 자신감을 심어줄 것이고, 풍족하고 다양한 보급품과 밀리지 않는 급료 역시 병사들에게 안정감을 가져다 줄 것입니다.^^ 몇몇 다른 요인들은 이보다 덜 직관적인데, 그중 하나는 단결력입니다. 예를 들면 작은 그룹 안에서 병사들은 수적인 열세에 처했을 때 그들의 동료들 앞에서 겁쟁이처럼 보이지 않으려고 열심히 싸울 것입니다. 반면 큰 그룹에 속한 병사들은 지휘관이 불평을 들어주거나 그들 사이의 작은 싸움들을 관리할 시간이 없기 때문에 단결력이 약해집니다. 잦은 전투는 병사들 사이의 결속력을 강화시켜줍니다. 반대로 장기간 전투가 없으면 병사들은 지루해 하고 틈만 나면 자기들끼리 싸우려고 할 것입니다.^^ 사기에 관한 보고는 단순히 메뉴의 '보고서' 버튼을 클릭하면 볼 수 있고 플레이어는 병사의 사기에 영향을 주는 요인들이 무엇인지 알 수 있습니다.
ip_economy|워밴드: 경제
ip_economy_text|펜도르의 마을과 도시들은 주민들의 건강함과 풍요로움을 유지하기 위해 다양한 종류의 상품들을 필요로 합니다. 가장 중요한 것은 음식입니다. 곡물은 칼라디아의 주요 작물이지만 사람에게는 지방과 단백질 역시 필요하기 때문에 육류나 어류 혹은 유제품 등을 반드시 섭취해야만 하고 육류를 보존하기 위한 소금 역시 매우 중요합니다. 먹을 것이 충족되면 입을 것이 필요합니다. 그래서 양모나 리넨, 벨벳 같은 옷감의 수요가 생깁니다. 마지막으로 도구들이 거래됩니다. 쇠붙이나 도자기, 가죽제품은 물론 전쟁을 위한 갑옷, 무기, 말 역시 필요합니다.^^ 대부분의 농산품들은 작은 마을에서 생산되며, 도시의 솜씨 좋은 장인들은 직물과 쇠붙이들을 만들어 냅니다. 또한 여러 자원들은 서로 다른 지역에서 생산되기 때문에 마을 - 도시간 무역과 도시 - 도시간 무역은 칼라디아에서 부를 얻는 주요 수단입니다.^^ 무역이 활성화되면 상품은 풍족하고 저렴해질 것이고, 중심지의 주민들은 활기차고 건강해질 것이며, 주변 지역으로부터 많은 이주자들이 몰려들 것입니다. 중심지는 더 많이 생산하고 더 많이 소비하며 결과적으로 그들의 군주에게 더 많은 세금을 안겨다 줄 것입니다. 무역이 감소하면 일꾼들은 다른 곳으로 일자리를 찾으러 떠나게 되고 경제활동은 마비될 것입니다. 그렇기 때문에 상인들을 전쟁이나 도적들로부터 보호하는 일은 지도자들의 주요 관심사일 수 밖에 없습니다. 하지만 영리한 일부 상인들은 다른 지역으로 부터 고립된 작은 마을을 찾아가기도 한다. 그런 곳에서는 물건 가격의 균형이 이루어지지 않기 때문에 상당한 이득을 챙길 수도 있습니다.^^ 마을 사람들은 대부분 생산품을 도시의 시장으로 가져다 팔기 때문에 마을의 시장은 상당히 한적한 편이며 물건을 살때는 싸게, 팔때는 비싸게 팔려고 합니다. 몇몇 이들은 마을을 돌아다니며 물자를 조달하지만, 진정한 상인들은 도시에 머무르면서 이익을 얻습니다.^^ 어떤 지역의 번영에 영향을 미치는 요인들에 대해 알고 싶다면 그곳의 길드마스터와 대화하면 됩니다. 또한 길거리의 사람들도 그들 자신이 하는 거래에 대한 정보를 이야기 해주기도 합니다
ip_courtship|워밴드: 결혼
ip_courtship_text|Players may wish to marry into one of Pendor's noble families. Marriage is not necessary for a player to rise in power and stature, but it does provide players with an opportunity to improve their relation with lords and establish a claim to the throne.^^Marriage requirements will be different for males and females. A male character will usually need to pursue a traditional path of courtship. He should establish a reputation in Pendorian aristocratic society, get on good terms with his bride's parents or guardians, and then woo the lady according to local custom. If a player grows impatient, he may attempt to take a shortcut -- but there will be consequences in his relations with other lords.^^A male character should keep in mind that other lords will be competing with him for the affections of the kingdom's ladies. Also, a lady's tastes are unpredictable, and a player may also find that the object of his love does not love him in return. Romance, in Pendor as elsewhere, does not always prosper. Of course, a player may resort to other, less gentlemanly means of winning a lady's heart, but again, that will have a serious impact on his reputation.^^To get started on the path of courtship, a male player should try to get involved in the social life of the Pendorian aristocracy, attending feasts and tournaments. Also, wandering troubadours and poets can serve as a useful repository of information on courtship, and keep the player up to date about the latest gossip.^^Female characters can also marry -- but they should keep in mind that Pendorian society is very traditional, and, as adventurers, they have chosen a very unconventional path for a woman. A female character may have to look for a while to find a lord who is open-minded enough to marry her.^^On the bright side, a female character does not have to go through the elaborate rituals of courtship, and she also may gain more from a marriage than her male counterpart. For a woman adventurer, marriage can be a quick path to power -- and an unscrupulous character may be able to use her husband as a tool of her political ambitions.
ip_politics|워밴드: 정치
ip_politics_text|The realms of Pendor, although they represent different cultures, all adhere to the same basic political system: feudalism. Feudalism is based on the relationships between individuals: the oaths of loyalty given by a vassal to his or her liege. In exchange for this oath, the vassal will usually receive a fief, a parcel of land whose income will be used by the vassal to raise troops to support the liege in time of war. A liege also has an obligation to protect his vassals, and to treat them justly.^^This is how it works in theory, anyway. In practice, vassals will not always work in their factions' interests, particular as they are often quarreling with one another. Nobles have different personalities, and sometimes those personalities clash. Or, perhaps two nobles were once friends, but fell out over in the aftermath of a setback or a defeat -- or because they both were wooing the same lady. Jealousies will also surface as they vie for the favor of the king -- perhaps over newly conquered lands, or over who will be given the coveted office of marshal, the lord in charge of organizing large-scale campaigns.^^When one realm in Pendor makes war on another, the political unity of the each kingdom is as important as the quality or number of its soldiers in determining the outcome. In a cohesive kingdom, nobles will join together in a large force to sweep their opponents before them. In a kingdom divided by petty quarrels, lords will fail to respond to the marshal's summons, or drift away to attend to their own business if a campaign is not going well. A faction's political cohesion will also impact warfare when campaigns are not in progress. In a divided faction, lords will be less likely to join together on raids and patrols, and come to each other's defense.^^If it seems self-defeating for nobles to bicker and quarrel when the enemy is just over the horizon, keep this in mind -- ultimately, a noble's loyalty goes not to a particular faction or culture, but to himself and to his family. If a noble fears that his faction is collapsing, or if he is being neglected by his liege, he can usually find a reason to withdraw his oath of allegiance, and change sides. Players should keep this in mind, as they may find that there are opportunities to turn discontented former enemies into allies.
ip_character_backgrounds|워밴드: 캐릭터 배경
ip_character_backgrounds_text|A player character in Pendor may choose to come from a variety of social backgrounds. This choice will affect not just his or her starting skills and equipment, but also the course of his or her career as an adventurer.^^War and politics in Pendor are traditionally dominated by male aristocrats. A noble player character may find that he is invited into this 'old boys' club' fairly quickly, but commoners may face a few extra hurdles on the way. If you choose to start the game as a noble, you can think of it as the 'easy' setting. Starting as a commoner is somewhat more difficult^^However, women have some starting advantages. It is traditionally easier for a woman to marry up the social ladder than it is for a man, and a woman may find she can gain more from a strategic marital alliance than her male counterpart.^^Finally, keep in mind that the game does not place any limits on the upward mobility of characters based on their background. Noble or common, male or female, married or unmarried -- anyone can rise to become ruler of all Pendor, if they are sufficiently brave, lucky, or resourceful.
ip_military_campaigns|워밴드: 군대 연합
