
p_zendar|젠다르
p_town_1|야빅스홀름
p_town_2|발론브라이
p_town_3|에토스
p_town_4|라리아
p_town_5|야노스
p_town_6|살레온
p_town_7|말레온
p_town_8|레이븐스턴
p_town_9|포인스브룩
p_town_10|토바
p_town_11|센더폴
p_town_12|윈드홀름
p_town_13|레인
p_town_14|싱갈
p_town_15|체즈
p_town_16|아벤도르
p_town_17|날 타르
p_town_18|이쉬코만
p_castle_1|칼렌다인 성
p_castle_2|상게 사피드
p_castle_3|발톱벼랑 성
p_castle_4|에바솔드 성
p_castle_5|높은절벽 성
p_castle_6|다곤 성
p_castle_7|하늘고개 요새
p_castle_8|펜브레이 성
p_castle_9|왈븐 성
p_castle_10|무쇠참나무 성
p_castle_11|긴수염 별장
p_castle_12|안센 별장
p_castle_13|켈레단 성
p_castle_14|마라스 성
p_castle_15|사바도르 성
p_castle_16|알메라 성
p_castle_17|사이두 샤리프
p_castle_18|알덴 성
p_castle_19|은빛칼날 성채
p_castle_20|안개수렁 성
p_castle_21|렐라 성채
p_castle_22|샤디 샤히드
p_castle_23|흰사슴 성
p_castle_24|켄넷 성
p_castle_25|모브레이 성
p_castle_26|일곱 십자가 성채
p_castle_27|발톱 성
p_castle_28|오레갈 성
p_castle_29|용맹심장 성
p_castle_30|무콰다스 파니
p_castle_31|용기방패 성
p_castle_32|크누다르 성
p_castle_33|방패폭풍 성채
p_castle_34|군데르스 별장
p_castle_35|해링고스 성
p_castle_36|흐롤프손 성
p_castle_37|팔콘다크 성
p_castle_38|툴다르 요새
p_castle_39|신비뿔 성채
p_castle_40|셰르 퀼라
p_village_1|야라갈 마을
p_village_2|버글렌 마을
p_village_3|모브레이 마을
p_village_4|노마르 마을
p_village_5|쿨룸 마을
p_village_6|에미린 마을
p_village_7|아메어 마을
p_village_8|랍산잔 마을
p_village_9|버브란 마을
p_village_10|펜브레이 마을
p_village_11|드로쉬 마을
p_village_12|에머 마을
p_village_13|여우굴 마을
p_village_14|셔스트롬 마을
p_village_15|아즈가드 마을
p_village_16|셰이프시트 마을
p_village_17|마젠 마을
p_village_18|고스버 마을
p_village_19|안운 마을
p_village_20|우슬룸 마을
p_village_21|바젝 마을
p_village_22|엘크트린 마을
p_village_23|마단 마을
p_village_24|룰디 마을
p_village_25|사슴심장 마을
p_village_26|패건둘 마을
p_village_27|글룬마 마을
p_village_28|훈다 마을
p_village_29|뷜린 마을
p_village_30|루바르 마을
p_village_31|암베쇼른 마을
p_village_32|에민에이드 마을
p_village_33|앗난 켈 마을
p_village_34|엘러다 마을
p_village_35|엘크부르그 마을
p_village_36|야위엑 마을
p_village_37|아다 칼람 마을
p_village_38|이바이런 마을
p_village_39|레버런 마을
p_village_40|샤렌 마을
p_village_41|두간 마을
p_village_42|샨두 마을
p_village_43|가진 마을
p_village_44|코고시 마을
p_village_45|블루가 마을
p_village_46|페드너 마을
p_village_47|브레트번 마을
p_village_48|베이더 마을
p_village_49|티스미르 마을
p_village_50|사프란꽃문 마을
p_village_51|율레 마을
p_village_52|미안단 마을
p_village_53|발라닐 마을
p_village_54|펀 마을
p_village_55|오린 마을
p_village_56|페나다 마을
p_village_57|브란벅 마을
p_village_58|베진 마을
p_village_59|야신 마을
p_village_60|탈베르 마을
p_village_61|알델렌 마을
p_village_62|레바체 마을
p_village_63|콰위 마을
p_village_64|세린디어 마을
p_village_65|벨몬페이어 마을
p_village_66|피스드나 마을
p_village_67|테반드라 마을
p_village_68|세 팟하 마을
p_village_69|크윈 마을
p_village_70|디리그세네 마을
p_village_71|트르브렌 마을
p_village_72|데락테 게메즈 마을
p_village_73|차에자 마을
p_village_74|아베이벌 마을
p_village_75|클로빈다른 마을
p_village_76|화살제조장 마을
p_village_77|리지 마을
p_village_78|사리미쉬 마을
p_village_79|우슈 마을
p_village_80|카베라이드 마을
p_village_81|오다산 마을
p_village_82|트라그마르 마을
p_village_83|가하 마을
p_village_84|첼레즈 마을
p_village_85|이스미랄라 마을
p_village_86|비어북 마을
p_village_87|튀라 마을
p_village_88|툴부크 마을
p_village_89|우훈 마을
p_village_90|왈븐 마을
p_salt_mine|알-아지즈의 숨겨진 광산
p_four_ways_inn|사거리 여관
p_test_scene|훈련장
p_battlefields|전장
p_dhorak_keep|단검 성채
p_old_ruins|오래된 폐허
p_castle_noldor|엘라크라이
p_snake_stronghold|사교도 요새
p_training_ground|훈련장
p_training_ground_1|훈련장
p_training_ground_2|훈련장
p_training_ground_3|훈련장
p_training_ground_4|훈련장
p_training_ground_5|훈련장
p_steppe_bandit_spawn_point|드'샤르 약탈단 소굴
p_steppe_bandit2_spawn_point|steppe2 bandit sp
p_steppe_bandit3_spawn_point|steppe3 bandit sp
p_forest_bandit_spawn_point|숲도적 은신처
p_forest_bandit2_spawn_point|forest bandit2 sp
p_forest_bandit3_spawn_point|forest bandit3 sp
p_forest_bandit4_spawn_point|forest bandit4 sp
p_forest_bandit5_spawn_point|forest bandit5 sp
p_forest_bandit6_spawn_point|노상강도 캠프
p_forest_bandit7_spawn_point|forest bandit7 sp
p_forest_bandit8_spawn_point|forest bandit8 sp
p_forest_bandit9_spawn_point|forest bandit9 sp
p_forest_bandit10_spawn_point|forest bandit10 sp
p_forest_bandit11_spawn_point|forest bandit11 sp
p_forest_bandit12_spawn_point|forest bandit12 sp
p_heretic_spawn_point|Unused sp
p_a_spawn_point|A 이교도성지
p_b_spawn_point|B 이교도성지
p_c_spawn_point|C 이교도성지
p_color1_red_spawn_point|Red Spawn
p_color2_yellow_spawn_point|Yellow Spawn
p_color3_blue_spawn_point|Blue Spawn
p_color4_green_spawn_point|Green Spawn
p_color5_black_spawn_point|Black Spawn
p_generic1_spawn_point|generic Army1 sp
p_generic2_bandit_spawn_point|generic2 army sp
p_omega_spawn_point|Omega Army unused
p_alpha_spawn_point|Alpha Army sp
p_beta_spawn_point|Beta Army sp
p_mystmountain_spawn_point|신비산 산채
p_mountain_bandit_spawn_point|mountain bandit sp
p_mountain_bandit2_spawn_point|mountain bandit2 sp
p_sea_raider_spawn_point_1|반스케리 해적부대 상륙지점
p_sea_raider_spawn_point_2|반스케리 해적부대 상륙지점2
p_sea_raider_spawn_point_3|반스케리 해적부대 상륙지점3
p_snake_cult1_spawn_point|사교도 성지
p_snake_cult2_spawn_point|사교도 성지2
p_noldor_elves_spawn_point|라리아 숲
p_jatu_nomads_spawn_point|자투의 대지
p_jatu_nomads2_spawn_point|자투의 대지2
p_inquisition1_spawn_point|Inquisition Spawn
p_inquisition2_spawn_point|Inquisition Spawn
p_inquisition3_spawn_point|Inquisition Spawn
p_inquisition4_spawn_point|Inquisition Spawn
p_ringer_1_spawn_point|Ringer 1 sp
