
pt_none|없음
pt_rescued_prisoners|구출된 포로
pt_enemy|적
pt_hero_party|영웅 부대
pt_village_defenders|마을 자경단
pt_cattle_herd|소 떼
pt_looters|무법자들
pt_militia|민병 순찰대
pt_steppe_bandits|드'샤르 도적 무리
pt_forest_bandits|숲도적들
pt_mountain_bandits|산속 무법자들
pt_sea_raiders|반스케리 약탈단
pt_snake_bandits|사교도 부대
pt_forest_outcasts|노상강도 무리
pt_sea_raider_army|반스케리 해적 군대
pt_omen_seekers|징조 탐구집회
pt_heretics|이교도 집회
pt_heretics_army|이교도 군대
pt_snake_cult|사교도 무리
pt_snake_cult_warband|사교도 전투부대
pt_snake_cult_army|사교도 군대
pt_azi_death_cult|아지 다하카의 죽음의 교단 무리
pt_mystmountain_raiders|신비산 도적무리
pt_mystmountain_army|신비산 군대
pt_jatu_nomads|자투 약탈부대
pt_jatu_warband|자투 전투부대
pt_jatu_army|자투 군대
pt_red_brotherhood|붉은형제단
pt_inquisition_patrol|이단 심문단 순찰대
pt_inquisition_warband|이단 심문단 신학자 부대
pt_inquisition_army|이단 심문단 신성 군대
pt_fadventurers|여성 모험단
pt_adventurers|모험단
pt_peasant_army|농민 반란군
pt_merc_barclay|바클레이 정복 모험단
pt_merc_generic|용병협회
pt_merc_mettenheim|메텐하임 원정군
pt_merc_freikorps_mettenheim|메텐하임 의용군
pt_melitine_medium_spawn|멜리틴 정찰군
pt_merc_jatu|자투 용병단
pt_merc_vanskerry|반스케리 용병단
pt_merc_veccavian|펄시너의 딸들
pt_merc_singalian|싱갈족 용병단
pt_slaver_singalian|싱갈족 노예상
pt_player_merc_mettenheim|메텐하임 자유형제단
pt_player_merc_mettenheim_2|메텐하임 자유형제단
pt_player_merc_veccavian|베카비아 변절자들
pt_player_merc_barclay|바클레이 제1 근위대
pt_player_merc_melitine|사르노의 멜리틴 원정대
pt_player_merc_marleons|말레온 제1 기병대
pt_player_merc_unicorns|티모시 경의 유니콘 기사단
pt_player_merc_red_brotherhood|로사리오의 붉은형제단
