qstr_Next_Page|다음 페이지
qstr_Game_Rules:^|게임 규칙:^
qstr_0|0
qstr_Show_game_rules|게임 규칙 보기
qstr_What_will_be_the_nam|부대의 이름을 정해주십시오.
qstr_Continue...|계속...
qstr_What_shall_be_the_ne|기사단 지부의 새로운 이름을 정해주십시오.
qstr_What_shall_be_the_na|기사단의 이름을 정해주십시오.
qstr_Order_of_the|기사단
qstr_Knights_of_{s0}|{s0}의 기사
qstr_What_shall_be_called|당신의 기사단 기사를 뭐라고 부르시겠습니까? (단수, 복수)
qstr_What_shall_be_called_|당신의 기사단 준기사를 뭐라고 부르시겠습니까? (단수, 복수)
qstr_Candidate_#1:_{s1}|지원자 #1: {s1}
qstr_Candidate_#2:_{s1}|지원자 #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s4}에 {s3}이(가) 가신회의에서 새로운 총사령관을 선택하길 바라고 있습니다. 후보자는 {s1},{s2} 같습니다.
qstr_Who_do_you_wish_to_s|누구를 지원하겠습니까?
qstr_{s1}_gives_his_suppo|{s1}이(가) {s2}를 지원했습니다.
qstr_Number_of_Supporters|지원병 수: {reg0}
qstr_{s2}_has_heard_his_v|{s2}은 가신회의로부터 소식을 전해들었습니다. 회의를 마친 후 {s3}의 총사령관으로 {s1}이(가) 선출되었습니다.
qstr_Action|행동
qstr_Mount|말에 올라타라
qstr_Attack_Order|공격 명령
qstr_Stand_Ground|정지!
qstr_Charge|돌격!
qstr_Follow_Me|나를 따르라!
qstr_Hold_This_Position|이 위치로!
qstr_Spread_Out|산개
qstr_Stand_Closer|밀집
qstr_Fall_Back|후퇴!
qstr_Advance|전진!
qstr_Dismount|말에서 내려라
qstr_Fire_At_Will|자유 사격
qstr_Hold_Your_Fire|사격 중지
qstr_Use_Blunt_Weapons|둔기만 사용해라
qstr_Use_Any_Weapon|모든 무기를 사용해라
qstr_Ready|생존
qstr_Wounded|부상
qstr_Dead|사망
qstr_Opponents_knocked_do|처치한 사람 수 : {reg1}명
qstr_Opponents_left:_{reg|남은 사람 수 : {reg1}명
qstr_Opponents_beaten:_{r|처치한 상대 : {reg1}명
qstr_Opponents_remaining:|남은 상대 : {reg1}명
qstr_Remain_in_retirement|모험에서 은퇴한다.
qstr_Go_back_to_the_adven|모험을 계속한다.
qstr_You_have_retired_at_|당신은 {reg5}일 동안 모험을 하고 레벨 {reg4}에 은퇴했습니다.
qstr_Effect_on_Score|효과 점수
qstr_Settlements_owned_by|정착민들이 당신을 신뢰합니다: {reg0}
qstr_Friendly_Settlements|호의적인 정착민들: {reg0}
qstr_Hostile_Settlements:|적대적인 정착민들: {reg0}
qstr_Friendly_Lords:_{reg|호의적인 군주: {reg0}
qstr_Enemy_Lords:_{reg0}|적대적 군주: {reg0}
qstr_Victories:_{reg0}|승리: {reg0}
qstr_Defeats:_{reg0}|패배: {reg0}
qstr_Quests_Completed:_{r|퀘스트 완료: {reg0}
qstr_Companions_Found:_{r|합류한 동료: {reg0}
qstr_Companions_Lost/Depa|상실/떠난 동료: {reg0}
qstr_Wealth:_{reg0}_denar|재산: {reg0} 디나르
qstr_Inventory:_{reg0}_de|인벤토리: {reg0} 디나르
qstr_Renown:_{reg0}|명성: {reg0}
qstr_Experience:_{reg0}|경험치: {reg0}
qstr_Days_Passed:_{reg0}|보낸 일 수: {reg0}
qstr_Difficulty:_{reg0}%|난이도: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|총 점: {reg0}
qstr_the_{s15}|{s15}
qstr_the_{s16}_and_{s15}|{s16} 그리고 {s15}
qstr_the_{s16}_{s15}|{s16}, {s15}
qstr__conquered_{s15}| {s15} 정복,
qstr_self_proclaimed_{reg|자칭 {reg63?왕:여왕}
qstr_minor_lord|작은 주인
qstr_mercenary_captain|용병 대장
qstr_None|없음
qstr_{s4}_s_achievements_|{reg5}일 동안의 모험에 따른 {s4}의 업적
qstr_Deathbringer|죽음의 인도자
qstr__killed_{reg0}_enemi|(한 전투에서 적을 {reg0}명 이상 죽이다.)
qstr_Masterful_Warrior|숙련된 전사
qstr__{reg0}_enemies_kill|({reg0}명의 적을 죽이거나 기절시키다.)
