
skinkey_chin_size|아래턱 크기
skinkey_chin_shape|아래턱 외형
skinkey_chin_forward|아래턱을 앞으로
skinkey_jaw_width|턱 넓이
skinkey_lower_lip|아랫 입술
skinkey_upper_lip|윗 입술
skinkey_mouth_nose_distance|인중
skinkey_mouth_width|입 넓이
skinkey_nostril_size|콧구멍 크기
skinkey_nose_height|코 높이
skinkey_nose_width|코 넓이
skinkey_nose_size|코 크기
skinkey_nose_shape|코 외형
skinkey_nose_bridge|콧날
skinkey_eye_width|눈 넓이
skinkey_eye_to_eye_dist|눈 사이
skinkey_eye_shape|눈 외형
skinkey_eye_depth|눈 깊이
skinkey_eyelids|눈꺼풀
skinkey_cheeks|뺨
skinkey_cheek_bones|광대뼈
skinkey_eyebrow_height|눈썹 높이
skinkey_eyebrow_shape|눈썹 외형
skinkey_temple_width|관자놀이 넓이
skinkey_face_depth|얼굴 깊이
skinkey_face_ratio|얼굴 비율
skinkey_face_width|얼굴 넓이
skinkey_post_edit|Post-Edit
skinkey_jaw_position|턱 위치
skinkey_eyebrow_position|눈썹 위치
skinkey_eyebrow_depth|눈썹 넓이
skinkey_face_shape_1|얼굴 외형 1
skinkey_face_shape_2|얼굴 외형 2
skinkey_forehead|이마 깊이
skinkey_eyebrows|눈썹
skinkey_eyebrows_2|눈썹 2
skinkey_eyes|눈
skinkey_pupils|눈동자
skinkey_nose|코
skinkey_bones|골격
skinkey_ears|귀
skinkey_jaw|턱
skinkey_chin|아래턱
skinkey_chin_2|아래턱 2
skinkey_smile|미소
skinkey_teeth|치아
skinkey_teeth_depth|치아 깊이
skinkey_empty_parameter|Empty Parameter
