
ui_music_volume|음악 크기:
ui_sound_volume|효과음 크기:
ui_mouse_sensitivity|마우스 감도:
ui_invert_mouse_y_axis|마우스 상하 반전
ui_enabled|확인
ui_disabled|취소
ui_damage_to_player|플레이어가 받는 대미지:
ui_reduced_to_1_over_4_easiest|25%(쉬움)
ui_reduced_to_1_over_2_easy|50%(보통)
ui_damage_to_friends|아군이 받는 대미지:
ui_reduced_to_1_over_2_easiest|50%(쉬움)
ui_reduced_to_3_over_4_easy|75%(보통)
ui_normal|100%(어려움)
ui_combat_ai|전투 인공지능:
ui_combat_speed|전투 속도:
ui_good|높음
ui_average_caps|보통
ui_poor|낮음
ui_faster|빠름
ui_slower|느림
ui_control_block_direction|막기 방향 설정:
ui_automatic_recommended|자동
ui_manual_easy|수동 (쉬움)
ui_manual_hard|수동 (어려움)
ui_by_mouse_movement|마우스 이동
ui_control_attack_direction|공격 목표 설정:
ui_lance_control|랜스 컨트롤:
ui_by_relative_enemy_position|적의 위치에 따라
ui_by_inverse_mouse_movement|마우스 이동의 반대방향으로
ui_battle_size|전투 규모:
ui_show_attack_direction|공격 방향 보이기
ui_show_targeting_reticule|목표 방향 보이기
ui_show_names_of_friendly_troops|동료 병사 깃발 보이기
ui_report_damage|피해량 알리기
ui_report_shot_difficulty|발사 난이도 알리기
ui_difficulty_rating_percentage|난이도 = %d%%
ui_controls|조작키 설정
ui_video_options|비디오 설정
ui_done|마침
ui_factions|세력
ui_item_itemname|아이템 - %s
ui_prop_propname|소품 - %s
ui_unknown_unknownname|Unknown - %s
ui_entry_point_entrypointname|최대 인원 %d
ui_passage_menu_item_passagename|Passage (메뉴 아이템 %d)
ui_plant_plantname|나무 - %s
ui_export_file_for_character_playername_already_exists_overwrite_it|캐릭터 %s의 정보가 이미 존재합니다. 덮어 씌우시겠습니까?
ui_yes|네
ui_no|아니오
ui_set_save_file_name|저장 게임 제목 입력:
ui_enter_new_name|새로운 이름 입력:
ui_export_character|캐릭터 저장하기
ui_import_character|캐릭터 불러오기
ui_character_playername_exported_successfully|캐릭터 %s를 저장했습니다.
ui_character_playername_imported_successfully|캐릭터 %s를 불러왔습니다.
ui_unable_to_open_import_file|불러올 수 없음.
ui_are_you_sure_you_want_to_import_the_character|캐릭터를 불러오시겠습니까?
ui_unable_to_find_character_import_file|불러올 캐릭터 파일을 찾을 수 없습니다.
ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|마운트앤블레이드가 체험판입니다. 캐릭터를 불러오기 위해 게임을 구매해 주십시오.
ui_change_skin|피부
ui_change_hair|머리
ui_change_hair_color|머리 색상
ui_change_beard|수염
ui_tutorial|튜토리얼
ui_tutorial_face_generator|버튼과 슬라이더를 이용해 얼굴을 바꾸십시오. 머리를 회전시키려면, 마우스를 드래그 하십시오.
ui_restore|불러오기
ui_cancel|취소
ui_delete|삭제
ui_confirm_delete_game|이 게임을 삭제하시겠습니까?
ui_error_removing_file|삭제 파일 오류...
ui_day_datedisplay|%d (%d:%d%d) 일
ui_reset_changes|변경 초기화
ui_weapon_proficiencies|숙련도
ui_skills|스킬
ui_attributes|능력치
ui_enter_name_here|*이름을 입력하십시오*
ui_edit_face|얼굴을 바꾸려면 누르십시오.
ui_statistics|통계
ui_next|다음	
ui_prev|이전
ui_learn|훈련
ui_question_saving_policy|게임 저장 형식을 어떻게 정하시겠습니까?
ui_saving_policy_realistic|현실감 있게! 저장없이는 꺼지지 않도록!
ui_saving_policy_nonrealistic|저장 없이도 끄게 해주세요.
ui_tutorial_character_generation|이름을 입력하고 능력치를 분배해주세요. 여러가지 능력치를 클릭하여 그것이 캐릭터에 어떤 영향을 끼치는지 알 수 있습니다.
ui_str|힘
ui_agi|민첩
ui_int|지능
ui_cha|매력
ui_at_learning_limit|(능력치 분배 제한)
ui_not_enough_skill_points_to_learn|(스킬 점수가 부족합니다.)
ui_strength|힘
ui_agility|민첩
ui_intelligence|지능
ui_charisma|매력
ui_not_enough_attributetype_to_learn_this_skill|(이 스킬을 배우기 위한 %s이 부족합니다)
ui_explanation_one_handed_weapon|한손으로 다루는 검과 도끼, 둔기에 적용됩니다.
ui_explanation_two_handed_weapon|양손으로 다루는 검과 도끼, 둔기에 적용됩니다.
ui_explanation_polearm|창, 랜스, 지팡이 등에 적용됩니다.
ui_explanation_archery|활에 적용됩니다.
ui_explanation_crossbow|쇠뇌에 적용됩니다.
ui_explanation_throwing|투창이나 표창 같은 투척무기에 적용됩니다.
ui_explanation_firearms|권총과 머스켓에 적용됩니다.
ui_explanation_strength|힘: 체력이 1씩 추가됩니다. 단단한 피부, 타격하는 힘, 던지는 힘, 당기는 힘 스킬은 전체 힘 수치의 1/3 이상 올릴 수 없습니다.
ui_explanation_agility|민첩: 숙련도 점수를 5씩 제공하며, 무기의 공격 속도를 약간 증가시켜 줍니다. 무기 숙련, 방패기술, 운동능력, 승마술, 기마 궁술, 노획 스킬은 전체 민첩 수치의 1/3 이상 올릴 수 없습니다.
ui_explanation_intelligence|지능: 하나의 스킬을 더 찍을 수 있습니다. 훈련교관, 추적술, 전략가, 길찾기, 감지, 재고 관리, 상처 치료, 수술, 응급처치, 기계공 스킬은 전체 지능 수치의 1/3 이상 올릴 수 없습니다.
ui_explanation_charisma|매력: 부대의 규모를 1만큼 크게 해줍니다. 설득력, 포로 관리, 지도력, 상술 스킬은 전체 매력 수치의 1/3 이상 올릴 수 없습니다.
ui_level|레벨: %d
ui_xp|경험치: %d
ui_next_level_at|다음 레벨까지 남은 경험치: %d
ui_health_player|체력: %d/%d
ui_health|체력: %d
ui_attribute_points|능력치 점수: %d
ui_skill_points|스킬 점수: %d
ui_weapon_points|숙련도 점수: %d
