str_no_string|NO STRING!
str_empty_string| 
str_yes|Yes.
str_no|No.
str_blank_string| 
str_noone|no one
str_s50_and_s51|{s50} and {s51}
str_s52_and_s51|{s52} and {s51}
str_s5_s_party|{s5}'s Party
str_given_by_s1_at_s2|Given by {s1} at {s2}
str_given_by_s1_in_wilderness|Given by {s1} whilst in the field
str_s7_raiders|{s7} Raiders
str_bandits_eliminated_by_another|The troublesome bandits have been eliminated by another party.
str_msg_battle_won|You are Victorious! Press tab key to leave...
str_msg_battle_won0|Your forces are triumphant! Press tab key to leave...
str_msg_battle_won1|The enemy has been defeated! Press tab key to leave...
str_msg_battle_won2|The enemy has been vanquished! Press tab key to leave...
str_msg_battle_won3|The field has been won! Press tab key to leave...
str_msg_battle_won4|Fate smiles upon you! The last of your enemies has fallen! Press tab key to leave...
str_msg_battle_won5|All of your enemies have fallen! Press tab key to leave...
str_msg_battle_won6|You have won the day! Press tab key to leave...
str_msg_battle_won7|No enemy remains to stand against you! Press tab key to leave...
str_msg_battle_won8|Victory is yours! Press tab key to leave...
str_tutorial_map1|Welcome to the World of Pendor, Champion.^^This total conversion modification is designed in mind for experienced players who learned or mastered what Native has to offer. Your skills will be tested and sometimes it will not be easy. Finally, the die has been cast and now you set sail to Pendor. The Prophesy of Pendor Team welcomes you and we hope you enjoy the world we all created.^^All Rights Reserved for Official Prophesy of Pendor Development Teams.
str_randomize|Randomize
str_charge|Charge
str_color|Color
str_flip_horizontal|Flip Horizontal
str_flip_vertical|Flip Vertical
str_hold_fire|Hold Fire
str_blunt_hold_fire|Blunt / Hold Fire
str_tutorial_ammo_refilled|Ammo refilled.
str_tutorial_failed|You have been beaten this time, but don't worry. Follow the instructions carefully and you'll do better next time. Press the Tab key to return to to the menu where you can retry this tutorial.
str_finished|(Finished)
str_delivered_damage|Delivered {reg60} damage.
str_archery_target_hit|Distance: {reg61} yards. Score: {reg60}
str_use_baggage_for_inventory|Use your baggage to access your inventory during battle (it's at your starting position).
str_cant_use_inventory_now|Can't access inventory now.
str_cant_use_inventory_arena|Can't access inventory in the arena.
str_cant_use_inventory_disguised|Can't access inventory while you're disguised.
str_cant_use_inventory_tutorial|Can't access inventory in the training camp.
str_1_denar|1 denar
str_reg1_denars|{reg1} denars
str_january_reg1_reg2|January {reg1}, {reg2}
str_february_reg1_reg2|February {reg1}, {reg2}
str_march_reg1_reg2|March {reg1}, {reg2}
str_april_reg1_reg2|April {reg1}, {reg2}
str_may_reg1_reg2|May {reg1}, {reg2}
str_june_reg1_reg2|June {reg1}, {reg2}
str_july_reg1_reg2|July {reg1}, {reg2}
str_august_reg1_reg2|August {reg1}, {reg2}
str_september_reg1_reg2|September {reg1}, {reg2}
str_october_reg1_reg2|October {reg1}, {reg2}
str_november_reg1_reg2|November {reg1}, {reg2}
str_december_reg1_reg2|December {reg1}, {reg2}
str_town_nighttime| It is late at night and honest folk have abandoned the streets.
str_door_locked|The door is locked.
str_castle_is_abondened|The castle seems to be unoccupied.
str_town_is_abondened|The town has no garrison defending it.
str_place_is_occupied_by_player|The place is held by your own troops.
str_place_is_occupied_by_enemy|The place is held by hostile troops.
str_place_is_occupied_by_friendly|The place is held by friendly troops.
str_do_you_want_to_retreat|Are you sure you want to retreat?
str_give_up_fight|Give up the fight?
str_do_you_wish_to_leave_tutorial|Do you wish to leave the tutorial?
str_do_you_wish_to_surrender|Do you wish to surrender?
str_can_not_retreat|Can't retreat, there are enemies nearby!
str_s1_joined_battle_enemy|{s7} has joined the battle on the enemy side.
str_s1_joined_battle_friend|{s7} has joined the battle on your side.
str_entrance_to_town_forbidden|The town guards are on the lookout for intruders and it seems that you won't be able to pass through the gates unchallenged.
str_sneaking_to_town_impossible|The town guards are alarmed. You wouldn't be able to sneak through that gate no matter how well you disguised yourself.
str_battle_won|You have won the battle!
str_battle_lost|You have lost the battle!
str_attack_walls_success|After a bloody fight, your brave soldiers manage to claim the walls from the enemy.
str_attack_walls_failure|Your soldiers fall in waves as they charge the walls, and the few who remain alive soon rout and run away, never to be seen again.
str_attack_walls_continue|A bloody battle ensues and both sides fight with equal valour. Despite the efforts of your troops, the castle remains in enemy hands.
