qstr_Next_Page|Next Page
qstr_Game_Rules:^|Game Rules:^
qstr_0|0
qstr_Show_game_rules|Show game rules
qstr_What_will_be_the_nam|What will be the name of your party?
qstr_Continue...|Continue...
qstr_What_will_be_the_name|What will be the name of your secret camp?
qstr_What_shall_be_the_ne|What shall be the new name of the Order stronghold?
qstr_What_shall_be_the_ti|What shall be the title of your male vassals?
qstr_What_shall_be_the_tit|What shall be the title of your female vassals?
qstr_Use_specified_titles|Use specified titles.
qstr_Use_titles_default_f|Use titles default for your kingdom's culture.
qstr_What_shall_be_the_na|What shall be the name of your Order?
qstr_Order_of_the|Order of the
qstr_Knights_of_{s0}|Knights of {s0}
qstr_What_shall_be_called|What shall be called your Order Knight (singular and plural)?
qstr_What_shall_be_called_|What shall be called your Order Sergeant (singular and plural)?
qstr_Candidate_#1:_{s1}|Candidate #1: {s1}
qstr_Candidate_#2:_{s1}|Candidate #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} of {s4} wishes to select a new marshall and invites his vassals for a counsel. {s1} and {s2} are the likely candidates.
qstr_Who_do_you_wish_to_s|Who do you wish to support?
qstr_{s1}_gives_his_suppo|{s1} gives his support to {s2}.
qstr_Number_of_Supporters|Number of Supporters: {reg0}
qstr_{s2}_has_heard_his_v|{s2} has heard his vassals' counsel. He selects {s1} as the marshall of {s3}.
qstr_Action|Action
qstr_Mount|Mount
qstr_Attack_Order|Attack Order
qstr_Stand_Ground|Stand Ground
qstr_Charge|Charge
qstr_Follow_Me|Follow Me
qstr_Hold_This_Position|Hold This Position
qstr_Spread_Out|Spread Out
qstr_Stand_Closer|Stand Closer
qstr_Fall_Back|Fall Back
qstr_Advance|Advance
qstr_Dismount|Dismount
qstr_Fire_At_Will|Fire At Will
qstr_Hold_Your_Fire|Hold Your Fire
qstr_Use_Blunt_Weapons|Use Blunt Weapons
qstr_Use_Any_Weapon|Use Any Weapon
qstr_Ready|Ready
qstr_Wounded|Wounded
qstr_Dead|Dead
qstr_Opponents_knocked_do|Opponents knocked down: {reg1}
qstr_Opponents_left:_{reg|Opponents left: {reg1}
qstr_Opponents_beaten:_{r|Opponents beaten: {reg1}
qstr_Opponents_remaining:|Opponents remaining: {reg1}
qstr_Remain_in_retirement|Remain in retirement.
qstr_Go_back_to_the_adven|Go back to the adventuring.
qstr_You_have_retired_at_|You have retired at level {reg4} after {reg5} days of adventuring.
qstr_Effect_on_Score|Effect on Score
qstr_Settlements_owned_by|Settlements owned by you: {reg0}
qstr_Friendly_Settlements|Friendly Settlements: {reg0}
qstr_Hostile_Settlements:|Hostile Settlements: {reg0}
qstr_Friendly_Lords:_{reg|Friendly Lords: {reg0}
qstr_Enemy_Lords:_{reg0}|Enemy Lords: {reg0}
qstr_Victories:_{reg0}|Victories: {reg0}
qstr_Defeats:_{reg0}|Defeats: {reg0}
qstr_Quests_Completed:_{r|Quests Completed: {reg0}
qstr_Companions_Found:_{r|Companions Found: {reg0}
qstr_Companions_Lost/Depa|Companions Lost/Departed: {reg0}
qstr_Wealth:_{reg0}_denar|Wealth: {reg0} denars
qstr_Inventory:_{reg0}_de|Inventory: {reg0} denars
qstr_Renown:_{reg0}|Renown: {reg0}
qstr_Experience:_{reg0}|Experience: {reg0}
qstr_Days_Passed:_{reg0}|Days Passed: {reg0}
qstr_Difficulty:_{reg0}%|Difficulty: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|TOTAL SCORE: {reg0}
qstr_the_{s15}|the {s15}
qstr_the_{s16}_and_{s15}|the {s16} and {s15}
qstr_the_{s16}_{s15}|the {s16}, {s15}
qstr__conquered_{s15}| conquered {s15},
qstr_self_proclaimed_{reg|self-proclaimed {reg63?king:queen}
qstr_minor_lord|minor lord
qstr_mercenary_captain|mercenary captain
qstr_None|None
qstr_{s4}_s_achievements_|{s4}'s achievements after {reg5} days of adventuring (checked once a day).
qstr_Deathbringer|Deathbringer
qstr__killed_{reg0}_enemi|(killed {reg0} enemies in a single battle)
qstr_Masterful_Warrior|Masterful Warrior
qstr__{reg0}_enemies_kill|({reg0} enemies killed or wounded)
qstr_Legendary_Warrior|Legendary Warrior
qstr_Battle_Master|Battle Master
qstr__won_{reg0}_victorie|(won {reg0} victories)
qstr_Great_General|Great General
qstr_Defender_of_Pendor|Defender of Pendor
qstr__defeated_{reg0}_her|(defeated {reg0} heroes)
qstr_Guardian_of_Pendor|Guardian of Pendor
qstr_Bane_of_Vejovis|Bane of Vejovis
qstr__wiped_out_a_Mystmou|(wiped out a Mystmountain army)
qstr_Cult_Banisher|Cult Banisher
qstr__wiped_out_a_Snake_C|(wiped out a Snake Cult army)
qstr_Scourge_of_Jatu|Scourge of Jatu
qstr__wiped_out_a_Jatu_ar|(wiped out a Jatu army)
qstr_Purger_of_Heresy|Purger of Heresy
qstr__wiped_out_a_Heretic|(wiped out a Heretic army)
qstr_Arena_Survivor|Arena Survivor
qstr__won_in_{reg0}_tourn|(won in {reg0} tournaments)
qstr_Tournament_Champion|Tournament Champion
qstr_{reg63?Hero:Heroine}|{reg63?Hero:Heroine} of Pendor
qstr__gained_{reg0}_renow|(gained {reg0} renown)
qstr_{reg63?Lion:Lioness}|{reg63?Lion:Lioness} of Pendor
qstr_Chevalier_of_Pendor|Chevalier of Pendor
qstr__gained_{reg0}_honor|(gained {reg0} honor)
qstr_Rogue_{reg63?King:Qu|Rogue {reg63?King:Queen}
qstr__declared_a_sovereig|(declared a sovereign kingdom)
qstr_Great_Persuader|Great Persuader
qstr__persuaded_{reg0}_lo|(persuaded {reg0} lords to join kingdom)
qstr_Master_Builder|Master Builder
qstr__built_{reg0}_improv|(built {reg0} improvements)
qstr_Competent_Aide|Competent Aide
qstr__completed_{reg0}_qu|(completed {reg0} quests)
qstr_Epitome_of_Ineptitud|Epitome of Ineptitude
qstr__failed_{reg0}_quest|(failed {reg0} quests)
qstr_Slippery_Fellow|Slippery Fellow
qstr__captured_{reg0}_tim|(captured {reg0} times)
qstr_Caravan_Marauder|Caravan Marauder
qstr__raided_{reg0}_carav|(raided {reg0} caravans)
qstr_Village_Plunderer|Village Plunderer
qstr__raided_{reg0}_villa|(raided {reg0} villages)
qstr_Blatant_Deceiver|Blatant Deceiver
qstr__cheated_in_battle_|(cheated in battle)
qstr_Order_Grandmaster|Order Grandmaster
qstr__became_a_leader_of_|(became a leader of a Knighthood Order)
qstr_More.|More.
qstr_Back.|Back.
qstr_You_have_been_awarde|You have been awarded an Achievement!
qstr_Continue.|Continue.
qstr_A_Knighthood_Order_c|A Knighthood Order chapterhouse is founded
qstr_{s11}_of_the_{s12}_h|{s11} of the {s12} has founded a chapterhouse of the Order of the {s13} in {s14}.
qstr_Pendor_:__Conquered_|Pendor :  Conquered by {s11}
qstr_The_{s11}_has_defeat|The {s11} has defeated all rivals and stands as the sole kingdom.  The Prophecy of Madigan has been fulfilled!^^ An Alternate Probability has been created.
qstr_Pendor_:__Conquered_b|Pendor :  Conquered by One Kingdom
qstr_{s11}_has_defeated_a|{s11} has defeated all rivals and stands as the sole kingdom.  The Prophecy of Madigan has been fulfilled!^^ An Alternate Probability has been created.
qstr_Factions|Factions
qstr_Show_towns|Show towns
qstr_Show_castles|Show castles
qstr_Show_villages|Show villages
qstr_Tip:_move_the_mouse_|Tip: move the mouse onto the black blocks to show their names.
qstr_The_World_Map|The World Map
qstr_Done|Done
qstr_P_o_P___O_p_t_i_o_n_|P o P   O p t i o n s
qstr_Scroll_down_for_more|Scroll down for more options
qstr_Battle_options|Battle options
qstr_Battlefield_size_|Battlefield size 
qstr_840x840m|840x840m
qstr_550x550m|550x550m
qstr_240x240m|240x240m
qstr_Adaptive|Adaptive
qstr_Battle_reinforcement|Battle reinforcement waves 
qstr_Unlimited|Unlimited
qstr_18|18
qstr_16|16
qstr_14|14
qstr_12|12
qstr_10|10
qstr_8|8
qstr_6|6
qstr_4|4
qstr_2|2
qstr_Siege_reinforcement_|Siege reinforcement waves 
qstr_36|36
qstr_32|32
qstr_28|28
qstr_24|24
qstr_20|20
qstr_Enhanced_horse_arche|Enhanced horse archers AI 
qstr_Disabled|Disabled
qstr_NPCs_only|NPCs only
qstr_All_units|All units
qstr_Garrison_left_by_AI_|Garrison left by AI in taken fief 
qstr_Large__default_|Large (default)
qstr_Medium|Medium
qstr_Small|Small
qstr_Disable_troop_routin|Disable troop routing 
qstr_Enable_Formations_|Enable Formations 
qstr_Battle_interface|Battle interface
qstr_Show_personal_kill_c|Show personal kill count 
qstr_Battle_ratio_bar_|Battle ratio bar 
qstr_shows_proportion_of_|shows proportion of soldiers alive on each side
qstr_Ratio_bar_shows_rese|Ratio bar shows reserve forces too 
qstr_reports_global_battl|reports global battle forces including reinforcements
qstr_Display_a_message_on|Display a message on ally death 
