menu_start_game_0|펜 도르의 예언에 오신 것을 환영합니다! ^ 게임을 시작하기 전에 캐릭터를 만들어야합니다. ^^ 조심해 모험가. 귀하의 배경 선택은 펜 도르의 옵션과 기회에 영원히 영향을 미칩니다.
mno_continue|계속하다...
mno_go_back|돌아가
menu_start_phase_2|신의 은총으로 당신은 150 년 넘게 끊임없는 투쟁으로 고통받는 펜 도르에 도착합니다. 악의 영향을 막고, 옛 왕국의 전쟁 진영을 재결합하고, 미친 방랑자 Madigan이 반향을 불러 일으키는 Pendor를위한 새로운 가능성을 창조하는 것은 어려운 도전을 받아 들였습니다. 이들은 위대하고 작은 많은 힘이 서로를 대적하여 패권을 행사하는 위험한 땅입니다. 여기서 당신은 명예와 귀족뿐만 아니라 속임수와 skulduggery를 찾을 수 있습니다. 용맹 한 기사와 검은 마음 암살자가있을 것입니다. 새로운 삶을 시작하기 위해 과거를 떠나게됩니다. 펜 도르는 전형적인 중세 국가가 아닙니다. 여성과 남성은 Pendor에서 성공과 실패의 기회가 동일합니다. 성공하면 무한한 차원의 현실에서 새로운 가능성을 창출 할 수 있습니다. 귀하의 선택은 오라클이 선택할 수있는 직조에 새로운 스레드를 생성 할 수 있으며 귀하의 행동으로 인해 우리 모두를 구할 수도 있습니다. 펜 도르와 그 왕국에 관한 이야기를 들려주세요.
mno_town_1|Sarleon 왕국의 Sarleon 캐러밴에 가입하십시오.
mno_town_2|Ravenstern 왕국의 Ravenstern 캐러밴에 가입하십시오.
mno_town_3|D' Shar 공국에서 Torbah에 대한 캐러밴에 가입하십시오.
mno_town_4|Fierdsvain에있는 Javiksholm에 배를 타십시오.
mno_town_5|제국의 야노스로 배를 타십시오.
mno_pop_cheat|[테스트] 그냥 놀자!
menu_start_game_3|시나리오를 선택하십시오.
menu_tutorial|당신은 지역 주민들이 무기로 훈련하는 분야에 접근합니다. 전투 기술을 향상시키기 위해 여기에서 연습 할 수 있습니다.
mno_go_back_dot|돌아가
menu_reports|캐릭터 명성 / Prestige : {reg5} ^ ^ 명예 등급 : {reg6} ^ Prestige 소비 : {reg9} ^ 명예 부대의 기본 명성 비용 : {reg10} ^^ 파티 사기 : {reg8} ^ 파티 규모 제한 : {reg7} ^^ 다음 월급 날 : {s60}
mno_action_view_troop_trees|부대 나무.
mno_view_character_report|문자 보고서를 봅니다.
mno_view_party_size_report|파티 규모 보고서를 봅니다.
mno_view_morale_report|정당 사기 보고서를 봅니다.
mno_view_weekly_budget_report|주간 예산 보고서를 봅니다.
mno_view_center_income_report|위치 소득 보고서를 봅니다.
mno_view_victory_condition_report|승리 진행 상황을 봅니다.
mno_view_achievement_report|업적보기
mno_view_faction_relations_report|진영 관계 보고서를보십시오.
mno_view_npc_mission_report|동반자 임무 보고서를 봅니다.
mno_lord_relations|알려진 군주 목록을 관계별로 봅니다.
mno_courtship_relations|구애 관계를보십시오.
mno_action_view_world_map|펜 도르지도.
mno_resume_travelling|여행을 재개하십시오.
menu_custom_battle_scene|(전송 금지)
menu_custom_battle_end|전투는 끝났습니다. {s1} 전투에서 적군이 {reg5} 명의 적을 죽이고 {reg6} 부대를 잃었습니다. 당신은 싸움에서 {reg7} 명의 사람들을 개인적으로 죽였습니다.
menu_start_game_1|캐릭터의 성별을 선택하십시오.
mno_start_male|남성.
mno_start_female|여성 (Warband faces).
mno_start_female_2|여성 (맞춤 얼굴).
menu_start_character_1|당신은 몇 년 전에 태어 났으며 지금은 펜더의 서쪽과 남쪽에있는 바클레이 땅에 살고 있습니다. 네 아버지는 ...
mno_start_noble|사소한 귀족.
mno_start_merchant|상선 선장.
mno_start_guard|전 기사.
mno_start_forester|은퇴 한 모험가.
mno_start_nomad|방랑하는 유목민 부족 지도자.
mno_start_thief|거칠고 신비로운 인물.
mno_start_priest|존경하는 의사.
menu_start_character_2|{s10} ^^ 당신의 젊음에서 당신은 아버지처럼 유휴 시간이 거의 없었습니다 ...
mno_page|미성년자 바클레이 귀족을 섬기기로했습니다.
mno_apprentice|지역 길드의 장인으로 도제가되도록 보냈습니다.
mno_stockboy|성공적인 상인을 보살펴주십시오.
mno_urchin|당신을 지키기 위해 당신을 떠났습니다.
mno_nomad|야생에서 사냥하기 위해 혼자서 보냈습니다.
menu_start_character_3|{s11} ^^ 그런 다음, 영원이 된 후에 당신의 삶이 바뀌 었습니다. 당신은 기회가 주어졌습니다 ...
mno_squire|스 콰이어.
mno_lady|기다리는 여자.
mno_troubadour|바드.
mno_student|의사 학자.
mno_peddler|자영업자.
mno_craftsman|엔지니어와 건축업자.
mno_poacher|사냥꾼.
menu_start_character_4|{s12} ^^ 그러나 운명은 그랬듯이 세상의 모든 것이 갑자기 바뀌 었습니다. 당신은 바클레이의 땅을 떠나 펜 도르를 위해 파업 할 수밖에 없었습니다.
mno_revenge|당신은 당신에게 잘못한 일을 바로해야합니다.
mno_death|당신은 당신의 아버지가 죽었다는 메시지를 받았습니다.
mno_wanderlust|불행한 일련의 사건.
mno_disown|당신의 삶을 끝내려는 너무 많은 적들이있었습니다.
mno_greed|당신의 삶을 영원히 바꾸어 놓은 편지의
menu_choose_skill|{s13}
mno_begin_adventuring|당신은 배를 타고 정착 ...
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_morale_report|{s1}
menu_courtship_relations|{s1}
menu_lord_relations|{s1}
menu_center_income_report|{s1}
mno_list_of_fief_with_pending_quests|보류중인 하트 비트 퀘스트가있는 fief 목록을 제공하십시오.
mno_construction|시공 보고서보기 ...
menu_center_construction_report|{s1}
mno_back|돌아가
menu_victory_progress_report|승리 진행 보고서 ^^ {s6} ^^ 스네이크 컬트 : {s7} ^ 자 투족 : {s8} ^ 최신 야만인 : {s9} ^ 이단자 : {s10} ^^ 총 군대 생성 : { reg4} ^^ 남은 군대 : ^ {s13} ^^ Noldor Relations : {s12} ^^ Victory는 다음을 통해 달성됩니다 : ^^-하나의 왕국이 남아 있습니다. ^-Noldor는 당신과 유리한 관계를 유지해야합니다. ^- 미스트 마운틴 부족은 말살되거나 파괴되어야합니다. ^-다른 모든 작은 파벌은지도상에서 눈에 띄는 작은 파벌 군대 나 영웅적 성격으로 말살되거나 파괴되어야합니다.
menu_companion_report|{s7} {s1}
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
mno_orders|기사단 명령과의 관계를 봅니다.
menu_order_relations_report|{s1}
menu_camp|당신은 캠프를 설정했습니다. 뭐하고 싶어?
mno_camp_action_1|걸어 다니면서 병사들을 검토하십시오.
mno_camp_manage_inventory|상대방의 인벤토리를 관리하십시오.
mno_camp_access_companions_inventory|동료의 인벤토리에 액세스하십시오.
mno_camp_action|행동을 취하십시오.
mno_camp_wait_here|잠시만 기다려주세요.
mno_camp_options|POP 옵션.
mno_camp_cheat_infoline|-아래 표는 개발자만을위한 것입니다.
mno_camp_cheat|치트 메뉴.
mno_test_vader|치트 메뉴 베이더.
mno_test_vader2|치트 메뉴 베이더 부대.
mno_testers_cheat|치트 메뉴 테스터.
mno_fix_pop|내 게임을 수정하십시오.
menu_fix_pop_list|내 게임을 수정하십시오.
mno_fix_food|'0 사기 음식'및 '부정적인 기업 소득'및 'CKO 품목 없음'수정.
mno_camp_autoloot_for_bug|버그 수정을위한 캠프 자동 분배.
mno_reset_old_ruins_var|Old Ruins에서 대장장이와 안정된 소년을 재설정하십시오.
mno_purge_the_world|세상을 퍼지하십시오.
menu_purge_the_world_0|레벨이 <35 인 부대를 무작위로 제거하여 모든 필드 군대의 크기를 선택된 최대 값으로 줄이십시오.
mno_purge_the_world_1|1000 전사
mno_purge_the_world_2|2000 전사
mno_purge_the_world_3|3000 명의 전사
mno_purge_the_world_4|4000 전사
mno_purge_the_world_5|5000 전사
mno_purge_the_world_6|7500 전사
mno_purge_the_world_7|10000 전사
