str_no_string|STRING 없습니다!
str_empty_string|
str_yes|예.
str_no|아니.
str_blank_string|
str_noone|아무도
str_s50_and_s51|{s50} 및 {s51}
str_s52_and_s51|{s52} 및 {s51}
str_s5_s_party|{s5}의 파티
str_given_by_s1_at_s2|{s2}에서 {s1}이 제공
str_given_by_s1_in_wilderness|현장에있는 동안 {s1}이 제공
str_s7_raiders|{s7} 해적
str_bandits_eliminated_by_another|번거로운 도적은 다른 당사자에 의해 제거되었습니다.
str_msg_battle_won|당신은 승리합니다! 탭 키를 눌러 떠나십시오 ...
str_msg_battle_won0|당신의 힘은 승리입니다! 탭 키를 눌러 떠나십시오 ...
str_msg_battle_won1|적을 물리 쳤다! 탭 키를 눌러 떠나십시오 ...
str_msg_battle_won2|적이 정복되었습니다! 탭 키를 눌러 떠나십시오 ...
str_msg_battle_won3|필드가 이겼습니다! 탭 키를 눌러 떠나십시오 ...
str_msg_battle_won4|운명은 당신에게 미소! 적의 마지막이 떨어졌습니다! 탭 키를 눌러 떠나십시오 ...
str_msg_battle_won5|모든 적들이 쓰러졌습니다! 탭 키를 눌러 떠나십시오 ...
str_msg_battle_won6|당신은 하루를 이겼습니다! 탭 키를 눌러 떠나십시오 ...
str_msg_battle_won7|당신을 대적 할 적은 없습니다! 탭 키를 눌러 떠나십시오 ...
str_msg_battle_won8|승리는 당신입니다! 탭 키를 눌러 떠나십시오 ...
str_tutorial_map1|World of Pendor, Champion에 오신 것을 환영합니다. ^^이 전체 변환 수정은 Native가 제공하는 것을 배우거나 숙달 한 숙련 된 플레이어를 위해 설계되었습니다. 당신의 기술은 시험 될 것이고 때로는 쉽지 않을 것입니다. 마지막으로 주사위가 던져졌고 이제 펜 도르로 항해를 시작했습니다. Pendor of Prophesy Team은 여러분을 환영하며 우리가 만든 세상을 즐기시기 바랍니다. ^^ Pendor Development Teams의 공식 예언을 위해 판권 소유.
str_randomize|무작위 화
str_charge|요금
str_color|색깔
str_flip_horizontal|수평으로 뒤집기
str_flip_vertical|수직 뒤집기
str_hold_fire|화재 개최
str_blunt_hold_fire|둔화 / 화재
str_tutorial_ammo_refilled|탄약이 보충되었습니다.
str_tutorial_failed|이번에 구타를 당했지만 걱정하지 마십시오. 지침을주의해서 따르십시오. 그러면 다음에 더 잘할 것입니다. 이 자습서를 다시 시도 할 수있는 메뉴로 돌아가려면 Tab 키를 누르십시오.
str_finished|(끝마친)
str_delivered_damage|{reg60}의 피해를 입었습니다.
str_archery_target_hit|거리 : {reg61} 야드 점수 : {reg60}
str_use_baggage_for_inventory|전투 중 수하물을 사용하여 인벤토리에 액세스하십시오 (시작 위치에 있음).
str_cant_use_inventory_now|지금 인벤토리에 액세스 할 수 없습니다.
str_cant_use_inventory_arena|경기장의 인벤토리에 액세스 할 수 없습니다.
str_cant_use_inventory_disguised|위장한 상태에서 인벤토리에 액세스 할 수 없습니다.
str_cant_use_inventory_tutorial|교육 캠프의 인벤토리에 액세스 할 수 없습니다.
str_1_denar|1 디나르
str_reg1_denars|{reg1} 디나르
str_january_reg1_reg2|1 월 {reg1}, {reg2}
