ip_reference_buildings|참조 : 건물
ip_reference_buildings_text|대장장이 ^ 건설 가능 : 모두. 기본 비용 : 5000. ^ 청지기 기술 : 전술 2, 무역 3. ^ 대장장이 수입이 5만큼 증가하고 번영이 5 %. ^^ 건물 조사관 ^ 건축 할 수있는 곳 : 마을. 기본 비용 : 7000. ^ 청지기 기술 : Tactics 2, Spotting 2. ^ Building Inspectors는 기본 수입을 2 씩, 번영을 3 % , 관계를 1 씩 증가시킵니다. ^ Cathedral ^ 구축 가능 : 마을. 기본 비용 : 20000. ^ 청지기 기술 : 엔지니어 5, 리더십 5, 설득 6. ^ 성당은 수입을 20 씩, 번영을 20 % , 관계를 10 씩 증가시킵니다. ^^ 장식 할 수있는 곳 : 성, 마을. 기본 비용 : 1000. ^ 청지기 기술 : 설득 3, 리더십 3. ^ 채플은 수입을 5 씩 증가시킵니다. ^^ 교회 ^ 건축 할 수있는 : 모두. 기본 비용 : 7000. ^ 청지기 기술 : 설득 5, 엔지니어 3, 지도력 5. ^ 교회는 수입을 5 씩, 번영을 10 % , 관계를 5 씩 증가시킵니다. 또한 당신의 사업에 경건한 귀족을 끌어들일 것입니다. ^^ 시민 순찰 ^ 구축 가능 지역 : 도시. 기본 비용 : 800. ^ 청지기 기술 : 탐지 2, 추적 2, 전술 1. ^ 시민 순찰대는 기본 수입을 1 %, 번영으로 2 % , 관계를 5 씩 증가시킵니다. ^^ 법원 시스템 ^ 구축 가능 : 마을. 기본 비용 : 8000. ^ 청지기 기술 : 죄수 관리 2, 전술 4, 설득 5. ^ 법원 시스템은 수입을 5 씩, 번영을 10 % , 관계를 5 씩 증가시킵니다. . 기본 비용 : 5000. ^ 청지기 기술 : 인벤토리 4, 전술 3. ^ 작물 회전은 소득을 20 증가시키고 번영을 5 %. ^^ 증가합니다. 소방대 ^ 구축 가능 : 모두. 기본 비용 : 3000. ^ 청지기 기술 : 길 찾기 2, 목격 2. ^ 불 여단은 번영을 5 % , 관계 3 % 증가시킵니다. ^ 물고기 연못 ^ 건축 할 수있는 곳 : 마을. 기본 비용 : 6000. ^ 청지기 기술 : 엔지니어 1, 목격 2. ^ 물고기 연못은 기본 수입을 10만큼, 마을 번영을 10 %. ^^를 증가시킵니다. 기본 비용 : 3000. ^ 청지기 기술 : 추적 4, 길 찾기 3. ^ 포레스터는 소득을 5 씩 늘리고 번영을 5 %. ^^ Herbalist ^를 쌓을 수있는 자원과 목재를 모 읍니다. 기본 비용 : 5000. ^ 청지기 기술 : 응급 처치 3, 상처 치료 3. ^ 약초 학자는 지역 사회의 건강을 돕고, 번영을 10 % , 관계를 5 씩 증가시킵니다. ^^ 병원 ^ 건축 할 수있는 도시 : . 기본 비용 : 10000. ^ 청지기 기술 : 전술 3, 수술 5, 설득 3. ^ 병원은 수입을 5 씩, 번영을 10 % , 관계를 5 씩 증가시킵니다. ^^ 사냥 장 ^ 빌드 할 수있는 곳 : Village. 기본 비용 : 3000. ^ 청지기 기술 : 추적 3, 길 찾기 3. ^ 헌팅 롯지는 헌팅 파티를 보내어 수입을 5 씩 늘리고 번영을 10 %. ^^ 향상시킵니다. 기본 비용 : 10000. ^ 청지기 기술 : 엔지니어 3, 길 찾기 4. ^ 개선 된 도로는 기본 수입을 5 씩, 번영을 20 %,, 관계를 2 씩 증가시킵니다. 기본 비용 : 1000. ^ 청지기 기술 : 길 찾기 2. ^ 램프 라이터는 번영을 2 %  씩, 관계는 2만큼 증가시킵니다. ^^ 매너 ^ 구축 가능 : 마을. 기본 비용 : 8000. ^ 청지기 기술 : 엔지니어 2. ^ 매너는 마을에서 휴식을 취하고 번영을 10 %  증가시키고 기본 수입을 10 씩 증가시킵니다. ^^ 시장 ^ 구축 가능 : 마을, 성. 기본 비용 : 10000. ^ 청지기 기술 : 설득 2, 무역 5, 약탈 2. ^ 시장은 기본 수입을 50만큼, 번영을 50 %.까지 증가시킵니다. [Messenger Post ^ 구축 가능 : 모두. 기본 비용 : 4000. ^ 청지기 기술 : 엔지니어 2, 길 찾기 2. ^ 메신저 포스트를 사용하면 멀리 있어도 적들이 근처에있을 때마다 주민들이 메시지를 보낼 수 있습니다. 또한 관계를 5 개선합니다. ^^ 내 ^ 빌드 가능 : 모두. 기본 비용 : 3000. ^ 청지기 기술 : 엔지니어 4, 전술 3, 거래 4. ^ 광산은 탐사 중 발견 된 광물 가치를 기반으로 직접 수입을 창출하고 번영을 5 %. ^^ Monastery ^ 증가시킵니다. . 기본 비용 : 5000. ^ 청지기 기술 : Persuasion 4, Trainer 4. ^ 수도원은 수입을 5 씩, 번영을 5 % , 관계를 5 씩 증가시킵니다. ^^ 조직 된 길드 ^ 구축 가능 : 마을. 기본 비용 : 15000. ^ 청지기 기술 : 무역 5, 전술 5, 설득 5. ^ 조직 된 길드가 기본 수입을 50 증가시키고 번영을 25 %. ^^ Prison Tower ^ 구축 가능 : Castle, Town. 기본 비용 : 7000. ^ 청지기 기술 : 엔지니어 2, 죄수 관리 2. ^ 감옥 탑은 포로가 성공적으로 탈출 할 가능성을 줄입니다. ^^ 전망 (특별) ^ 구축 가능 : 모두. 기본 비용 : 1000. ^ 청지기 기술 : 엔지니어 1, 목격 1. ^ 근처에 광물과 석재를 찾기 위해 탐광 자 그룹을 고용하고 보냅니다. ^^ 렌더러 ^ 건축 할 수있는 곳 : 마을. 기본 비용 : 7000. ^ 청지기 기술 : 재고 2. ^ 렌더러는 직접 수입을 4 증가시키고 번영을 4 %. ^^ 증가시킵니다 위생 기준 ^ 구축 가능 : 모두. 기본 비용 : 3000. ^ 청지기 기술 : 전술 3, 엔지니어 2, 목격 2. ^ 위생 표준은 기본 수입을 2로, 번영을 2 % , 관계를 5로 증가시킵니다. ^^ 학교 ^ 구축 가능 : 마을. 기본 비용 : 9000. ^ 청지기 기술 : 트레이너 2. ^ 학교는 매주 +1 씩 마을 주민들의 충성을 증가시킵니다. ^^ 셰리프 ^ 건축 할 수있는 곳 : 마을. 기본 비용 : 5000. ^ 청지기 기술 : 트레이너 3, 추적 2, 전술 3. ^이 질서와 율법은 10 %,의 관계를 5만큼 향상시키고,이 지역의 산적 생성에 영향을 미치고 민병대 순찰을 보냅니다. ^^ 신사 ^ 빌드 가능 : 모두. 기본 비용 : 3000. ^ 청지기 기술 : 설득 3, 상처 치료 3. ^ 신사는 위치의 번영을 5 % , 관계 5 증가시킵니다. 또한 경건한 귀족이 당신의 대의를 불러 일으킬 것입니다. ^^ 숙련 된 장인 ^ 내장 가능 : 모두. 기본 비용 : 6000. ^ 청지기 기술 : 설득 2, 전술 3, 무역 4. ^ 숙련 된 장인이 마을 번영을 20 % 만큼 증가시키고 기본 수입을 100 씩 증가시킵니다. 또한 독립적 인 주별 건물 수리가 가능합니다. ^^ 거리 청소부 ^ 건축 할 수있는 : 도시. 기본 비용 : 2000. ^ 청지기 기술 : 추적 2. ^ 스트리트 스위퍼는 3 % 의 번영을 증가시키고 관계는 3만큼 증가합니다. ^ 세금 징수 원 사무소 ^ 구축 가능 : 모두. 기본 비용 : 2000. ^ 청지기 기술 : 약탈 3. ^ 세금 징수 원은 특정 지역의 기본 수입을 10 씩 늘리고 번영을 10 %  씩 낮추며 관계를 2만큼 줄입니다. ^^ 도둑 길드 ^ 구축 가능 : 도시 . 기본 비용 : 10000. ^ 청지기 기술 : 약탈자 5, 전술 5, 설득력 2. ^ 도둑 길드가 적 형제단을 마을로 데려 와서 직접 수입을 20만큼, 번영을 15 증가 %. 또한 마을 관계를 10만큼 줄입니다. . ^^ 타운 크리어 ^ 건물 수 : 마을. 기본 비용 : 500. ^ 청지기 기술 : 스포팅 2. ^ 타운 크리어는 기본 수입을 1 증가시키고, 번영을 2 % , 관계를 1 증가시킵니다. ^^ 훈련장 ^ 구축 가능 : Castle, Town. 기본 비용 : 8000. ^ 청지기 기술 : Trainer 4, Weapon Mastery 5. ^ 훈련장은 위치의 직접 수입을 3 씩 증가시키고 주둔군의 추가 훈련과 귀족 신병을 고용 할 수 있습니다. ^^ 대학 ^ 건설 가능 지역 : 도시. 기본 비용 : 10000. ^ 청지기 기술 : 엔지니어 4, 트레이너 5, 설득 4. ^ 대학은 수입을 10 씩, 번영을 10 % , 관계를 5 씩 증가시킵니다. ^^ 창고 ^ 구축 가능 지역 : 도시. 기본 비용 : 3000. ^ 청지기 기술 : 재고 4, 거래 2. ^ 창고 수입이 5 증가하고 번영이 5 %. ^^ 워치 타워 ^ 구축 가능 : 마을. 기본 비용 : 5000. ^ 청지기 기술 : 엔지니어 1, 스포팅 2. ^ 시계탑은 마을 사람들이 더 일찍 경보를 울릴 수있게합니다. 적들이 마을을 약탈하는 데 걸리는 시간이 25 %. 증가합니다. 또한 관계가 5만큼 향상됩니다. 기본 비용 : 2500. ^ 청지기 기술 : 스포팅 2. ^ 잘 청소부는 소득을 2 씩, 번영을 2 %  씩, 관계를 2. ^ Winery ^ 증가시킬 수 있습니다 : 마을, 성. 기본 비용 : 8000. ^ 청지기 기술 : 설득 3, 응급 처치 2, 전술 4. ^ 와이너리는 기본 수입을 50으로, 번영을 10 % , 관계를 3. 증가시킵니다 ^^
ip_reference_orders|참조 : 기사단 명령
ip_reference_orders_text|용의 순서 ^ 조건 : 플레이어는 까마귀 문화를 받아들이거나 25000 디나르 명예 15. ^ 기존 장 : Rane ^ 가능한 장 : 까마귀 ^ 까마귀 기사에게서 용의 기사 훈련 ^ 사자의 순서 ^ 조건 : 플레이어는 Sarleon 문화를 받아들입니다. 또는 30000 디나르의 Sarleon 10. ^ 기존 장 : Sarleon ^ 가능한 챕터 : Marleons ^ Sarleon Knights에서 사자 기사를 훈련시킵니다. ^^ 제국 문화 : 플레이어는 제국 문화를 받아들입니다. 10, 25000 디나르 ^ 기존 챕터 : Janos ^ 가능한 챕터 : Ethos ^ 제국 기사단에서 제국 불멸자를 훈련시킵니다. ^^ 윈드 라이더 ^ 조건 : 플레이어는 D' Shar 문화를 수용하거나 25000 디나르의 명예 10을 명중합니다. 가능한 챕터 : 날 타르 ^ 다 리샤르 귀족 기병대에서 드 샤르 윈드 라이더를 훈련시킵니다. ^^ 레이디 발키리 ^ 조건 : 플레이어는 Fierdsvain Culture 또는 Javiksholm, Honor 10, 30000 denars를 받아들입니다 ^ 기존 장 : Javiksholm 그 rsirs. ^^ Griffon의 주문 ^ 조건 : 파티 장의 Darlion 각하 또는 귀하의 캐릭터가 아버지 나 Qualis Gem으로부터 편지를 받았을 때 Old Pendor Culture, Honor 20, 25000 denars를 받아들이면 ^ Pendor Knights의 Griffon의 기사단 ^ 팔콘의 주문 ^ 조건 : 마담 우르술라 (Madame Ursula) 또는 레인 레인 경, 25000 디나르 명예 15 장 ^ 가능한 장 : 팔콘 다크 성 ^ 메이든 어드벤처에서 팔콘의 기사 훈련 ^ 레이븐 스피어의 주문 ^ 조건 : 플레이어 Poinsbruk, Honor 5, 25000 denars 소유 ^ 기존 장 : Poinsbruk ^ 가능한 장 : Avendor ^ Trains Ravenstern Knights에서 Raven Spear의 기사 훈련 ^^ Radiant Cross 주문 ^ 조건 : 플레이어 소유 Ethos, Honor 20, 25000 denars ^ Trains 펜 도르 기사단의 광란의 기사단 ^^ 클라리온 외침의 주문 ^ 조건 : 플레이어는 사르 레온 문화를 받아들이거나 10, 25000 디나르를 기리는 라 리아를 소유하고 있습니다 ^ 기존 장 : 라 리아 ^ 사르 레온 기사단의 클라리온 외침을 훈련합니다. ^ ^ 새벽의 주문 ^ Cond itions : 플레이어는 Valonbray, Honor 20, 25000 denars 소유 ^ 기존 장 : Valonbray ^ Pendor Knights에서 새벽 기사 훈련 ^ ^ 흑단 건틀릿 주문 ^ 조건 : Qualis Gem, Honor 5, 20000 denars ^ 가능한 장 : Avendor ^ Pendor Foot Knights에서 Ebony Gauntlet의 기사 훈련. ^^ Shadow Legion의 주문 ^ 조건 : Qualis Gem, Honor 10, 20000 denars ^ 기존 장 : Cez ^ Empire Knights에서 Shadow Legion Centurions 훈련. ^^ Silvermist Rangers ^ 조건 : Qualis Gem, Honor 20, 20000 디나르 ^ 가능한 장 : Senderfall ^ Pendor Black Archers에서 Silvermist Rangers를 훈련시킵니다. ^^ Eventide의 주문 ^ 조건 : 파티에서 Alistair 경, -20 이하, 30000 디나르 ^ 기존 장 : Singal ^ Pendor Knights에서 이벤트 기사단 훈련. ^^ Phoenix의 주문 ^ 조건 : Qualis Gem, Honor 15, 20000 denars ^ 기존 장 : Calendain Castle 또는 Maras Castle 또는 Almerra Castle ^ Phoenix of Knight of Phoenix from 제국 기사단 ^^ 그림자의 주문 늑대 ^ 조건 : 2000 년 10 월 10 일 퀄리스 보석, 디나르 ^ 기존 장 : Walven Castle 또는 Savador Castle 또는 Oregar Castle ^ Empire Knights에서 그림자 늑대 훈련 ^ 전갈 암살자 주문 ^ 조건 : Qualis Gem, Honor 5, 20000 디나르 ^ 기존 장 : Ishkoman ^ D' Shar 귀족 기병대에서 전갈 암살자를 훈련시킵니다. ^^ 크라켄 리 다리의 주문 ^ 조건 : Qualis Gem, Honor 15, 20000 디나르 ^ 기존 장 : 윈드 홀름 ^^ 독특한 기사단 순서 ^ 조건 : Qualis Gem, 20000 명예 디너 스 ^ 문화의 기사단에서 기사단을 훈련시킵니다. ^^
ip_morale|워 밴드 : 사기
ip_morale_text|사기는 파티에서 군대가 전투와 행진의 스트레스에 직면하는 데 필요한 지구력, 용기 및 훈련을 소환하는 능력과 의지를 나타냅니다. 군대의 행복과는 다릅니다. 엘리트 부대는 캠페인의 어려움에 대해 불평하고 우는 소리를 낼 수 있지만, 화살이 날기 시작할 때 하나가되어 함께 서 있습니다. 다른 한편으로, 자신의 병사에게 원하는 모든 것을 제공하는 사령관은 부드러워지고 적의 혐의에 앞서 포기한다는 사실을 발견 할 수 있습니다. 그들이 그들과 맞서 싸우는 조수를 인식 할 때 그들이 깰 수있는 가능성. 사기는 남자들이 자신의 신체적 한계에 도달하지 않기 때문에 동기가 덜한 파티가 더 느리게 움직이고 더 자주 멈추는 경향이 있기 때문에 파티의 행진 속도에 영향을 미칩니다. 마지막으로 사기가 매우 낮은 당사자는 이탈을 당하게됩니다. ^^ 사기에 영향을 미치는 일부 요인은 직관적입니다. 예를 들어, 전투에서 승리 한 것으로 유명한 카리스마 사령관은 자신의 남자에게 자신감을 불어 넣을 수 있습니다. 사람들에게 풍부하고 다양한 식량을 공급하고 제 시간에 돈을 지불하는 지도자들은 군대의 복지에 관심이 있으며 재난으로 이끌 가능성이 적다는 것을 보여줍니다. 파티의 그룹 응집력과 관련이 있습니다. 예를 들어, 작고 꽉 짜인 파티에서 남자들은 종종 자신의 무기 동지들 앞에서 겁쟁이를 피하기 위해 어려운 확률에 맞서 싸울 것입니다. 반면에 큰 당은 사령관이 남자들을 감독하고 불만을 듣고 분쟁을 해결하는 시간이 줄어들어 응집력이 약 해지는 것을 볼 수 있습니다. 빈번한 전투는 남성 간의 유대를 강화하고, 전투가 없으면 오랜 시간 동안 군대가 지루하고 싸우는 것을 보게 될 것입니다. ^^ '보고서'버튼을 누르면 접근 가능한 사기 보고서가 플레이어에게 영향을 미치는 요인에 대한 감각을 줄 것입니다. 남자의 사기.
ip_economy|워 밴드 : 이코노미
ip_economy_text|펜 도르의 도시와 마을은 인구가 건강하고 생산적인 상태를 유지하기 위해 다양한 상품이 필요합니다. 가장 중요한 것은 음식입니다. 곡물은 펜 도르의 주요 작물이지만 사람들은 고기, 생선 또는 치즈 형태의 지방과 단백질이 필요합니다. 육류를 보존하기 위해서는 육류를 보존하는 데 거의 많은 노력이 필요하므로 소금도 수요가 많습니다. 음식을 먹은 후에는 무거운 양모, 가벼운 리넨 또는 고급 벨벳이 옷을 입습니다. 마지막으로, 사람들은 무역 도구, 즉 철기, 도기, 가죽 제품, 그리고 무기, 갑옷, 전쟁을위한 말이 필요합니다. ^^ 대부분의 농산물은 마을에서 생산되는 반면, 마을의 장인은 제조 또는 직물 또는 다리미와 같은 장 인품. 또한 국가마다 다른 자원이 있습니다. 따라서 펜 도르의 번영의 열쇠는 마을과 마을, 그리고 주요 도시들 사이의 무역입니다. ^^ 무역이 흐르면 상품을 구할 수 있고 저렴한 가격에 센터의 인구는 건강하고 활력이 넘칩니다 이주민은 인근 지역에서 몰려 듭니다. 이 센터는 더 많은 것을 생산하고 더 많이 소비하며 주들에게 더 많은 세금을 기부 할 수 있습니다. 무역이 마르면 마을과 마을은 노동자들이 다른 곳에서 일자리를 구하기 위해 도망가는 것을 보게 될 것이며 경제 활동은 정지 상태에 빠질 것이다. 따라서 전쟁과 적대 행위의 위험으로부터 무역로를 보호하는 것은 통치자의 이익에 달려있다. 그러나 현명한 상인은 그로 인해 가격 불균형으로 깔끔한 이익을 얻을 수 있기 때문에 나머지 지역에서 고립 된 도시를 찾아야 할 수도 있습니다. 마을에서 물건을 시장에 내 놓으면 마을 시장은 다소 조용한 곳이 될 것이며, 마을 사람들은 값싼 물건을 사고 사랑하는 사람을 팔 것입니다. 진지한 상인들은 마을에 가서 이익을 내기 위해 노력할 것입니다. 일부 당사자들은 마을에서 물건을 얻기 위해 빨리 멈추기로 결정할 수도 있습니다. ^^ 지역의 번영에 영향을 미치는 요인에 대해 알고 싶은 플레이어는 지역 도시. 다른 정보는 자신의 특정 거래 밖에서 많이 알지 못하지만 통행인으로부터 수집 할 수 있습니다.
ip_courtship|워 밴드 : 구애
ip_courtship_text|플레이어는 펜 도르의 고귀한 가족 중 한 명과 결혼하기를 원할 수 있습니다. 결혼은 힘과 키가 커지는 데 필요하지 않지만, 플레이어는 군주와의 관계를 개선하고 왕좌에 대한 주장을 할 수있는 기회를 제공합니다. ^^ 결혼 요구 사항은 남녀에 따라 다릅니다. 남성 캐릭터는 일반적으로 전통적인 구애의 길을 추구해야합니다. 그는 Pendorian 귀족 사회에서 명성을 쌓고, 신부의 부모 나 보호자와 좋은 관계를 맺고, 지역 관습에 따라 그 여자를 숭배해야합니다. 플레이어가 참을성이 없어지면 지름길을 시도 할 수 있지만 다른 주들과의 관계에 영향을 줄 수 있습니다. ^^ 남자 캐릭터는 다른 주들이 왕국의 애정을 위해 그와 경쟁 할 것이라는 점을 명심해야합니다. 숙녀. 또한 여성의 취향은 예측할 수 없으며 플레이어는 자신의 사랑의 대상이 그를 대가로 사랑하지 않는다는 것을 알 수 있습니다. 다른 곳에서와 같이 펜 도르에서 로맨스가 항상 번창하는 것은 아닙니다. 물론, 선수는 숙녀의 마음을 얻는 다른 덜 신사적인 방법에 의지 할 수 있지만 다시 그의 명성에 심각한 영향을 미칠 것입니다. ^^ 구애의 길을 시작하려면 남자 선수가 Pendorian 귀족의 사회 생활에 참여하고 축제와 토너먼트에 참석합니다. 또한 방황하는 트라 우바 두르와 시인은 구애에 관한 유용한 정보 저장소가 될 수 있으며 플레이어에게 최신 가십에 대한 최신 정보를 유지할 수 있습니다. ^^ 여성 캐릭터도 결혼 할 수 있지만 펜 도리아 사회는 매우 전통적이라는 점을 명심해야합니다 그리고 모험가로서 그들은 여자를위한 매우 비 전통적인 길을 선택했습니다. 여성 캐릭터는 그녀와 결혼하기에 충분한 열린 마음을 가진 영주를 찾기 위해 잠시 기다려야 할 수도 있습니다. ^^ 밝은면에서, 여성 캐릭터는 정교한 구애 의식을 거칠 필요가 없으며, 또한 그녀는 남성보다 결혼 생활에서 더 많은 것을 얻습니다. 여성 모험가에게있어 결혼은 권력의 빠른 길일 수 있으며, 파렴치한 인물은 남편을 정치적 야망의 도구로 사용할 수 있습니다.
ip_politics|워 밴드 : 정치
