pt_none|none
pt_rescued_prisoners|구조 된 죄수
pt_enemy|적
pt_hero_party|영웅 파티
pt_village_defenders|마을 수비수
pt_cattle_herd|소 떼
pt_looters|무법자 밴드
pt_militia|민병대 순찰
pt_steppe_bandits|다샤 르 해적
pt_forest_bandits|산림 도둑
pt_mountain_bandits|산악인 무법자
pt_sea_raiders|반스 케리 해적
pt_snake_bandits|스네이크 컬트 파티
pt_forest_outcasts|여단의 고리
pt_sea_raider_army|반스 케리 해적 군
pt_omen_seekers|징조
pt_heretics|이단 언약
pt_heretics_army|이단 군대
pt_snake_cult|스네이크 컬트 파티
pt_snake_cult_warband|스네이크 컬트 워 밴드
pt_snake_cult_army|스네이크 컬트 아미
pt_azi_death_cult|아지 다 하카 데스 컬트 머 로더
pt_mystmountain_raiders|미스트 마운틴 해적
pt_mystmountain_army|미스트 마운틴 아미
pt_jatu_nomads|자투 레이 딩 파티
pt_jatu_warband|자투 워 밴드
pt_jatu_army|자투 아미
pt_red_brotherhood|빨간 형제애
pt_inquisition_patrol|심문 순찰
pt_inquisition_warband|심문 신학자
pt_inquisition_army|종교 재판소
pt_fadventurers|여성 모험 회사
pt_adventurers|모험 회사
pt_peasant_army|농민 반란군
pt_merc_barclay|콘퀴 스타도 로스 데 아벤 투라
pt_merc_generic|용병 회사
pt_merc_mettenheim|메텐 하임 원정대
pt_merc_freikorps_mettenheim|프라이 코프 스 메텐 하임
pt_melitine_medium_spawn|멜리 틴 정찰병
pt_merc_jatu|자투 용병
pt_merc_vanskerry|반스 케리 레이에 살랏
pt_merc_veccavian|페르 시노의 딸
pt_merc_singalian|Singalian Sellsword Company
pt_slaver_singalian|싱 갈리 안 노예
pt_player_merc_mettenheim|Freybrueder
pt_player_merc_mettenheim_2|Freybrueder 부분 2
pt_player_merc_veccavian|베카 비안 레네가 데스
pt_player_merc_barclay|프리메라 가디 아 레알
pt_player_merc_melitine|사 르노 원정
pt_player_merc_marleons|말레 온스의 첫 번째 배너
pt_player_merc_unicorns|디모데 경의 기사
pt_player_merc_red_brotherhood|로사리오의 형제애
pt_player_merc_red_brotherhood_2|로사리오 형제단 2 부
pt_player_merc_snowlions|스노 리온 여단
pt_player_merc_singalians|Firuz와 그의 Singalian 노예
pt_player_merc_jatu|인더의 선택
pt_player_merc_generic|자유 회사
pt_player_merc_cheaters|앤디의 프리 로딩 사기꾼
pt_stronghold_patrol|주문 요새 순찰
pt_ren_knights|레니게이드 기사
pt_cb5_results|도망하는 적
pt_noldor_elves|Noldor 레인저 회사
pt_errant_knights|잘못된 기사
pt_dread_legion_patrol|공포의 군단 순찰
pt_eyegrim_patrol|아이 그림의 악마 선봉대
pt_wolfbode_patrol|울프 보드 순찰
pt_three_seers_patrol|세 선견자 순찰
pt_inquisitor_rasmus_patrol|의의 진실을 옹호하는 사람들
pt_wolfbode|학살자 볼프 보드
pt_dread_legion|공포의 군단
pt_jatu_k_juda|파괴자 크 주다
pt_jatu_zulkar|장군 줄카
pt_eyegrim|포식자 아이 그림
pt_brouhaha|알라 릭 폰 브루 하하
pt_burilgi_the_usurper|우 서퍼 부릴 기
pt_oswald|오스왈드 드 플 뢰르 어드벤처 컴퍼니
pt_griffonsword|그리폰 소드 어드벤처 컴퍼니
pt_ironsword|코단 아이언 소드 어드벤처 컴퍼니
pt_shalavan|ik 샬 라반의 모험 회사
pt_boristheraven|까마귀 보리스 경
pt_three_seers|세 선견자
pt_noldor_lord_1|Aeldarian Noldor Lord
pt_noldor_lord_2|이 틸란 디르 놀 도르 군주
pt_syla_uzas|실라 우자
pt_mett_obrist|Obrist Heynrich
pt_vecc_verante|레니게이드 마녀 사냥
pt_barclay_rufio|테르시오 빌라 비시오 시아
pt_melitine_kaspax|멜리 틴 침공 힘
pt_inquisitor|신성 심문 관 Rasmus Devatica
pt_madame_de_pompadour|마담 드 퐁파두르
pt_refugees|피난민
pt_refugees_guarded|무장 난민
pt_deserters|사막화
pt_merchant_caravan|판매자 캐러밴
pt_troublesome_bandits|까다로운 도둑
pt_bandits_awaiting_ransom|몸값을 기다리는 도둑
pt_kidnapped_girl|납치 된 소녀
pt_village_farmers|마을 농민
pt_spy_partners|주목할만한 여행자
pt_runaway_serfs|폭주
pt_spy|평범한 읍민
pt_sacrificed_messenger|희생 된 메신저
pt_jatu_quest_army|마 라우팅 자투 아미
pt_forager_party|위조 파티
pt_scout_party|스카우트
pt_patrol_party|순찰
pt_messenger_party|전령
pt_raider_party|해적
pt_raider_captives|침입자 포로
pt_kingdom_caravan_party|대상
pt_prisoner_train_party|죄수 열차
pt_default_prisoners|기본 죄수
pt_routed_warriors|라우팅 된 적
pt_center_reinforcements|강화
pt_kingdom_hero_party|전쟁 파티
pt_kingdom_4_reinforcements_a|왕국 4 강화
pt_kingdom_4_reinforcements_b|왕국 4 강화제 b
pt_kingdom_4_reinforcements_c|왕국 4 강화제 c
pt_kingdom_5_reinforcements_a|왕국 5 강화
pt_kingdom_5_reinforcements_b|왕국 5 강화제 b
pt_kingdom_5_reinforcements_c|왕국 5 강화제 c
pt_kingdom_6_reinforcements_a|왕국 6 강화
pt_kingdom_6_reinforcements_b|왕국 6 강화제 b
pt_kingdom_6_reinforcements_c|왕국 6 강화제 c
pt_lethaldiran_reinforcements_a|레 탈디 란 강화
pt_lethaldiran_reinforcements_b|레 탈디 란 강화 b
pt_lethaldiran_reinforcements_c|레 탈디 란 강화제 c
pt_boadice_reinforcements_a|보디 보강재
pt_boadice_reinforcements_b|보디 보강재 b
pt_boadice_reinforcements_c|보디 보강재 c
pt_frederick_reinforcements_a|프레드릭 강화
pt_frederick_reinforcements_b|프레드릭 강화 b
pt_frederick_reinforcements_c|프레드릭 강화 c
pt_donavan_reinforcements_a|도나 반 보강재
pt_donavan_reinforcements_b|도나 반 보강재 b
pt_donavan_reinforcements_c|도나 반 보강재 c
pt_adonja_reinforcements_a|아 돈자 강화
pt_adonja_reinforcements_b|아 돈자 강화제 b
pt_adonja_reinforcements_c|아 돈자 강화제 c
pt_rayne_reinforcements_a|레인 보강재
pt_rayne_reinforcements_b|레인 보강재 b
pt_rayne_reinforcements_c|레인 보강제 c
pt_roland_reinforcements_a|롤랜드 보강재
pt_roland_reinforcements_b|롤랜드 보강재 b
pt_roland_reinforcements_c|롤랜드 보강재 c
pt_alistair_reinforcements_a|알리스 테어
pt_alistair_reinforcements_b|alistair 보강재 b
pt_alistair_reinforcements_c|alistair 보강재 c
pt_steppe_bandit_lair|다샤 르 레이더 소굴
pt_snake_bandit_lair|스네이크 컬트 신사
pt_forest_bandit_lair|브 리간드 캠프
pt_mountain_bandit_lair|미스트 마운틴 은신처
pt_sea_raider_lair|반스 케리 상륙
pt_looter_lair|납치범의 은신처
pt_treasure_lair|보물지도 위치
pt_leaded_looters|강도의 고리
pt_looters_quest|약탈자 밴드
