qstr_Next_Page|다음 페이지
qstr_Game_Rules:^|게임 규칙 : ^
qstr_0|0
qstr_Show_game_rules|게임 규칙 표시
qstr_What_will_be_the_nam|파티의 이름은 무엇입니까?
qstr_Continue...|계속하다...
qstr_What_will_be_the_name|비밀 캠프의 이름은 무엇입니까?
qstr_What_shall_be_the_ne|주문 요새의 새로운 이름은 무엇입니까?
qstr_What_shall_be_the_ti|당신의 남성 vassals의 제목은 무엇입니까?
qstr_What_shall_be_the_tit|당신의 여성 vassals의 제목은 무엇입니까?
qstr_Use_specified_titles|지정된 제목을 사용하십시오.
qstr_Use_titles_default_f|왕국 문화에 기본 제목을 사용하십시오.
qstr_What_shall_be_the_na|주문의 이름은 무엇입니까?
qstr_Order_of_the|의 순서
qstr_Knights_of_{s0}|{s0}의 기사
qstr_What_shall_be_called|당신의 주문 기사 (단수 및 복수)는 무엇입니까?
qstr_What_shall_be_called_|주문 상사 (단수 및 복수)는 무엇입니까?
qstr_Candidate_#1:_{s1}|후보자 # 1 : {s1}
qstr_Candidate_#2:_{s1}|후보자 # 2 : {s1}
qstr_{s3}_of_{s4}_wishes_|{s4}의 {s3}은 (는) 새 마샬을 선택하고 조언을 위해 자신의 해병을 초대합니다. {s1} 및 {s2}가 후보입니다.
qstr_Who_do_you_wish_to_s|누구를 지원하고 싶습니까?
qstr_{s1}_gives_his_suppo|{s1}은 {s2}를 지원합니다.
qstr_Number_of_Supporters|지지자 수 : {reg0}
qstr_{s2}_has_heard_his_v|{s2}이 (가) 그의 vassals의 권고를 들었습니다. 그는 {s1}을 {s3}의 마셜로 선택합니다.
qstr_Action|동작
qstr_Mount|산
qstr_Attack_Order|공격 순서
qstr_Stand_Ground|대지
qstr_Charge|요금
qstr_Follow_Me|날 따라와
qstr_Hold_This_Position|이 자세를 잡아라
qstr_Spread_Out|퍼짐
qstr_Stand_Closer|더 가까이
qstr_Fall_Back|폴백
qstr_Advance|전진
qstr_Dismount|내리게 하다
qstr_Fire_At_Will|의지에 불
qstr_Hold_Your_Fire|당신의 불을 붙잡 으십시오
qstr_Use_Blunt_Weapons|둔기 무기 사용
qstr_Use_Any_Weapon|모든 무기 사용
qstr_Ready|준비된
qstr_Wounded|상처 입은
qstr_Dead|죽은
qstr_Opponents_knocked_do|상대는 무너졌다 : {reg1}
qstr_Opponents_left:_{reg|남은 상대 : {reg1}
qstr_Opponents_beaten:_{r|맞은 상대 : {reg1}
qstr_Opponents_remaining:|남은 상대 : {reg1}
qstr_Remain_in_retirement|은퇴를 유지하십시오.
qstr_Go_back_to_the_adven|모험으로 돌아갑니다.
qstr_You_have_retired_at_|{reg5} 일의 모험을 마치고 {reg4} 레벨에서 은퇴했습니다.
qstr_Effect_on_Score|점수에 미치는 영향
qstr_Settlements_owned_by|귀하가 소유 한 정산 : {reg0}
qstr_Friendly_Settlements|친절한 정착 : {reg0}
qstr_Hostile_Settlements:|적대적 해결 : {reg0}
qstr_Friendly_Lords:_{reg|친절한 군주 : {reg0}
qstr_Enemy_Lords:_{reg0}|적군 : {reg0}
qstr_Victories:_{reg0}|승리 : {reg0}
qstr_Defeats:_{reg0}|패배 : {reg0}
qstr_Quests_Completed:_{r|완료된 퀘스트 : {reg0}
qstr_Companions_Found:_{r|친구를 찾았습니다 : {reg0}
qstr_Companions_Lost/Depa|분실 / 출발 동반자 : {reg0}
qstr_Wealth:_{reg0}_denar|부 : {reg0} 디나르
qstr_Inventory:_{reg0}_de|인벤토리 : {reg0} 디나르
qstr_Renown:_{reg0}|명성 : {reg0}
qstr_Experience:_{reg0}|경험 : {reg0}
qstr_Days_Passed:_{reg0}|통과 일수 : {reg0}
qstr_Difficulty:_{reg0}%|난이도 : {reg0} %
qstr_TOTAL_SCORE:_{reg0}|총점 : {reg0}
qstr_the_{s15}|{s15}
qstr_the_{s16}_and_{s15}|{s16} 및 {s15}
qstr_the_{s16}_{s15}|{s16}, {s15}
qstr__conquered_{s15}|정복 {s15}
qstr_self_proclaimed_{reg|자체 선언 된 {reg63? king : queen}
qstr_minor_lord|미성년자
qstr_mercenary_captain|용병 대장
qstr_None|없음
