ui_music_volume|음악 음량 :
ui_sound_volume|음량 :
ui_mouse_sensitivity|마우스 감도:
ui_invert_mouse_y_axis|마우스 Y 축 반전
ui_enabled|가능
ui_disabled|비활성화
ui_damage_to_player|플레이어 피해 :
ui_reduced_to_1_over_4_easiest|1/4로 감소 (가장 쉬움)
ui_reduced_to_1_over_2_easy|1/2로 감소 (쉬움)
ui_damage_to_friends|친구에게 피해 :
ui_reduced_to_1_over_2_easiest|1/2로 감소 (가장 쉬움)
ui_reduced_to_3_over_4_easy|3/4로 축소 (쉬움)
ui_normal|표준
ui_combat_ai|전투 AI :
ui_combat_speed|전투 속도 :
ui_good|좋은
ui_average_caps|평균
ui_poor|가난한
ui_faster|더 빠른
ui_slower|느리게
ui_control_block_direction|제어 블록 방향 :
ui_automatic_recommended|자동적 인
ui_manual_easy|수동 (쉬운)
ui_manual_hard|수동 (하드)
ui_by_mouse_movement|마우스 움직임으로
ui_control_attack_direction|제어 공격 방향 :
ui_lance_control|랜스 컨트롤 :
ui_by_relative_enemy_position|상대 적 위치
ui_by_inverse_mouse_movement|역 마우스 움직임으로
ui_battle_size|전투 크기 :
ui_show_attack_direction|공격 방향 표시
ui_show_targeting_reticule|타겟팅 레티클 표시
ui_show_names_of_friendly_troops|친절한 부대에 배너 표시
ui_report_damage|피해보고
ui_report_shot_difficulty|샷 문제 난이도
ui_difficulty_rating_percentage|난이도 = %d %%
ui_controls|통제 수단
ui_video_options|비디오 옵션
ui_done|끝난
ui_factions|진영
ui_item_itemname|안건 - %s
ui_prop_propname|소품-%s
ui_unknown_unknownname|알 수 없음-%s
ui_entry_point_entrypointname|진입 지점 %d
ui_passage_menu_item_passagename|통로 (메뉴 항목 %d)
ui_plant_plantname|식물 - %s
ui_export_file_for_character_playername_already_exists_overwrite_it|문자 %s에 대한 내보내기 파일이 이미 존재합니다. 덮어 쓰시겠습니까?
ui_yes|예
ui_no|아니
ui_set_save_file_name|이 저장 게임의 이름을 입력하십시오 :
ui_enter_new_name|새로운 이름을 입력하십시오 :
ui_export_character|캐릭터 내보내기
ui_import_character|캐릭터 가져 오기
ui_character_playername_exported_successfully|문자 %s을 (를) 내보냈습니다.
ui_character_playername_imported_successfully|문자 %s을 (를) 가져 왔습니다.
ui_unable_to_open_import_file|가져 오기 파일을 열 수 없습니다.
ui_are_you_sure_you_want_to_import_the_character|캐릭터를 가져 오시겠습니까?
ui_unable_to_find_character_import_file|문자 가져 오기 파일을 찾을 수 없습니다.
ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|Mount & Blade가 시험 모드로 실행 중입니다. 캐릭터를 가져 오기 위해 게임을 구입하십시오.
ui_change_skin|피부
ui_change_hair|머리
ui_change_hair_color|머리 색깔
ui_change_beard|수염
ui_tutorial|지도 시간
ui_tutorial_face_generator|버튼과 슬라이더를 사용하여 캐릭터의 얼굴을 조정하십시오. 머리를 회전 시키려면 머리를 클릭하고 마우스를 드래그하십시오.
ui_restore|하중
ui_cancel|취소
ui_delete|지우다
ui_confirm_delete_game|이 게임을 삭제 하시겠습니까?
ui_error_removing_file|파일을 삭제하는 중 오류가 발생했습니다 ...
ui_day_datedisplay|일 %d (%d:%d%d)
ui_reset_changes|변경 사항 재설정
ui_weapon_proficiencies|실력
ui_skills|기술
ui_attributes|속성
ui_enter_name_here|* 여기에 이름을 입력하십시오 *
ui_edit_face|얼굴을 편집하려면 클릭
ui_statistics|통계
ui_next|다음
ui_prev|이전
ui_learn|배우다
ui_question_saving_policy|게임의 절약 정책은 무엇입니까?
ui_saving_policy_realistic|현실적! 저장하지 않고 종료하지 마십시오!
ui_saving_policy_nonrealistic|저장하지 않고 종료 할 수 있습니다.
ui_tutorial_character_generation|이제 이름을 입력하고 속성, 스킬 및 무기 포인트를 배포하십시오. 화면에서 다양한 요소를 클릭하여 각 요소가 캐릭터에 미치는 영향을 배울 수 있습니다.
ui_str|STR
ui_agi|AGI
ui_int|INT
ui_cha|차
ui_at_learning_limit|(학습 한도에서)
ui_not_enough_skill_points_to_learn|(배우기에 충분한 기술 포인트가 없습니다)
ui_strength|힘
ui_agility|민첩
ui_intelligence|지성
ui_charisma|카리스마
ui_not_enough_attributetype_to_learn_this_skill|(%s이 기술을 배우기에 충분하지 않습니다)
ui_explanation_one_handed_weapon|한손 검, 축 및 무딘 무기의 사용법을 다룹니다.
ui_explanation_two_handed_weapon|양손 검, 대축 및 마울 사용을 다룹니다.
ui_explanation_polearm|스피어, 랜스, 스태프 등과 같은 극 무기 사용을 다룹니다.
ui_explanation_archery|활 사용법을 다룹니다.
ui_explanation_crossbow|석궁 사용법을 다룹니다.
ui_explanation_throwing|창 던지기, 다트, 돌 등과 같은 던진 무기의 사용법을 다룹니다.
ui_explanation_firearms|권총과 소총의 사용법을 다룹니다.
ui_explanation_strength|힘 : 모든 포인트는 +1로 포인트를줍니다. 다음 기술은 힘의 1/3을 넘어서는 개발할 수 없습니다 : 철살, 파워 스트라이크, 파워 드로우, 파워 드로우.
ui_explanation_agility|민첩성 : 각 포인트는 5 개의 무기 포인트를주고 이동 속도를 약간 증가시킵니다. 다음 기술은 민첩성의 1/3 이상으로 개발할 수 없습니다 : 무기 마스터, 방패, 육상, 승마, 말 양궁, 전리품.
ui_explanation_intelligence|인텔리전스 : 모든 인텔리전스 포인트는 즉시 하나의 추가 스킬 포인트를 제공합니다. 트레이너, 추적, 전술, 길 찾기, 스포팅, 재고 관리, 상처 치료, 수술, 응급 처치, 엔지니어 등 지능의 1/3을 넘어서는 기술은 개발할 수 없습니다.
ui_explanation_charisma|카리스마 : 각 포인트 당 파티 규모 제한이 +2 증가합니다. 설득, 죄수 관리, 리더십, 무역 : 카리스마의 1/3 이상으로 다음 기술을 개발할 수 없습니다.
ui_level|레벨 : %d
ui_xp|경험: %d
ui_next_level_at|다음 단계 : %d
ui_health_player|건강 : %d / %d
ui_health|건강 : %d
ui_attribute_points|특성 포인트 : %d
ui_skill_points|스킬 포인트: %d
ui_weapon_points|무기 포인트 : %d
ui_mission_losses_none|없음
ui_mission_losses_wounded|부상자 :
ui_mission_losses_killed|살해 :
ui_party_losses|%s : %d 부상 --- %d가 %d에서 사망했습니다.
ui_casualties_sustained|사상자 지속 :
ui_advantage_change|장점 변경 = %c %d
ui_overall_battle_casualties|전반적인 전투 사상자 :
ui_advantage_outnumbered|당신은 절망적으로 열세입니다.
