ui_texture_detail|텍스처 디테일 :
ui_max_frame_rate|최대 프레임 속도 :
ui_enable_bumpmap|범프 매핑 사용
ui_disable_blood|피 숨기기
ui_disable_music|음악 비활성화
ui_disable_sound|소리 비활성화
ui_enable_cheats|요령 활성화
ui_enable_edit_mode|편집 모드 사용 (경고 속도가 느려짐)
ui_enable_pixel_shaders|픽셀 쉐이더 사용
ui_enable_sound_variation|사운드 변형 사용
ui_enable_vertex_shaders|렌더 방법 :
ui_shadow_quality|그림자 품질 :
ui_directx_7|DirectX 7
ui_directx_9|DirectX 9
ui_show_framerate|프레임 속도 표시
ui_start_windowed|창 시작
ui_trialmode_caption|활성화
ui_trialmode|시리얼 키로 Mount && Blade Warband를 활성화하십시오. 박스형 사본에는 고유 한 16 자리 시리얼 키가 포함되어 있습니다. \ n 지금 어떤 이유로 든 게임을 활성화하지 않으려는 경우 계속 시험 모드에서 게임을 계속할 수는 있지만 캐릭터 레벨 8을 넘어 전진합니다.
ui_launch_buy|TaleWorlds.com에서 라이센스 구매
ui_launch_faq|자주 묻는 질문 (FAQ)
ui_trialmode2|지금 게임을 활성화하려면 ...
ui_trialmode3|아니면 ...
ui_trialmode4|활성화 프로세스에 대해 궁금한 점이 있으면 다음을 참조하십시오.
ui_serial_key_caption|시리얼 키
ui_notification_serial_input|아래에 시리얼 키를 입력하고 (복사하여 붙여 넣기 가능) 활성화 버튼을 클릭하십시오
ui_activate|활성화
ui_paste|풀
ui_notification_serial_internet_connection|활성화하려면 활성 인터넷 연결이 필요합니다!
ui_notification_serial_offline|이 컴퓨터가 인터넷에 액세스 할 수없는 경우 다음을 사용할 수도 있습니다.
ui_manual_activation|수동 활성화
ui_offline_activation|오프라인 활성화
ui_manual_activation_caption|수동 활성화
ui_offline_activation_caption|오프라인 활성화
ui_cancel2|취소
ui_close|닫기
ui_ok2|확인
ui_activation_successful|게임이 성공적으로 활성화되었습니다.
ui_activation_successful2|나중에 참조 할 수 있도록 일련 키를 보관하십시오. 새 컴퓨터에 Mount && Blade Warband를 설치하려는 경우 나중에 다시 필요할 수 있습니다.
ui_activation_denied|승인 거부!
ui_notification_serial_already_used|다른 컴퓨터에 이미 사용 된 시리얼 키. 이 컴퓨터에서 게임을 다시 활성화하려면 몇 주 정도 기다려야합니다.
ui_notification_unable_to_connect_to_activation_server|활성화 서버에 연결할 수 없습니다!
ui_notification_unable_to_connect_to_activation_server2|인터넷 연결이 활성화되어 있고 제대로 작동하는지 확인한 후 다시 시도하십시오. 방화벽을 사용하는 경우 인터넷에 액세스 할 수있는 권한을 게임에 부여해야합니다. 다른 모든 방법이 실패하면 항상 수동 활성화를 사용할 수 있습니다.
ui_incorrect_serial_number|잘못된 시리얼 키!
ui_incorrect_hardware_hash|잘못된 하드웨어 해시!
ui_incorrect_activation_code|잘못된 활성화 코드!
ui_cant_write_to_registry|레지스트리에 쓸 수 없습니다!
ui_video|비디오
ui_audio|오디오
ui_game|경기
ui_advanced|많은
ui_mount_and_blade_is_ready|Mount && Blade Warband가 준비되었습니다.
ui_notification_trial_mode|Mount && Blade Warband는 현재 평가판 모드로 실행 중입니다. 이 모드에서는 캐릭터가 레벨 6에 도달 할 때까지 게임을 자유롭게 즐길 수 있습니다. 계속하려면 taleworlds.com에서 라이센스를 구입하십시오. 온라인으로 라이센스를 구매하고 전체 모드를 잠금 해제하는 데 1 분 밖에 걸리지 않습니다.
ui_there_are_no_modules_installed|설치된 모듈이 없습니다!
ui_notification_new_version|최신 버전의 Mount & Blade Warband가 발견되었습니다. \ n 현재 설치된 버전은 %d. %d %d %d. \ nMount & Blade Warband의 최신 버전은 %d. %d [[ ]] %d. \ nwww.taleworlds.com에서 새 버전을 다운로드 할 수 있습니다.
ui_new_version_found|새 버전이 발견되었습니다!
ui_notification_unable_to_retreive_new_version|새 버전 정보를 검색 할 수 없습니다. 나중에 다시 시도하세요.
ui_new_version|새로운 버전:
ui_notification_latest_version|설치된 버전의 Mount && Blade Warband가 가장 최신 버전입니다.
ui_mount_and_blade_is_up_to_date|Mount & Blade Warband가 최신입니다!
ui_off|떨어져서
ui_continue_playing_the_trial_mode|평가판 모드에서 계속 재생
ui_faq_caption|자주하는 질문
