ip_reference_buildings|Reference: Buildings
ip_reference_buildings_text|Blacksmith^  Can build in: All. Base cost: 5000.^  Steward skills: Tactics 2, Trade 3.^A blacksmith increases income by 5 and the prosperity by 5%.^^Building Inspectors^  Can build in: Town. Base cost: 7000.^  Steward skills: Tactics 2, Spotting 2.^Building Inspectors increase base income by 2, prosperity by 3% and relations by 1.^^Cathedral^  Can build in: Town. Base cost: 20000.^  Steward skills: Engineer 5, Leadership 5, Persuasion 6.^A Cathedral increases income by 20, prosperity by 20% and relations by 10.^^Chapel^  Can build in: Castle, Town. Base cost: 1000.^  Steward skills: Persuasion 3, Leadership 3.^A Chapel increases income by 5.^^Church^  Can build in: All. Base cost: 7000.^  Steward skills: Persuasion 5, Engineer 3, Leadership 5.^A Church increases income by 5, prosperity by 10% and relations by 5. It will also attract pious nobles to your cause.^^Civic Patrols^  Can build in: Town. Base cost: 800.^  Steward skills: Spotting 2, Tracking 2, Tactics 1.^Civic Patrols increase base income by 1%, prosperity by 2% and relations by 5.^^Court System^  Can build in: Town. Base cost: 8000.^  Steward skills: Prisoner Management 2, Tactics 4, Persuasion 5.^A court system increases income by 5, prosperity by 10% and relations by 5.^^Crop Rotation^  Can build in: Village. Base cost: 5000.^  Steward skills: Inventory 4, Tactics 3.^Crop Rotation increases income by 20 and prosperity by 5%.^^Fire Brigade^  Can build in: All. Base cost: 3000.^  Steward skills: Pathfinding 2, Spotting 2.^A Fire Brigade increases prosperity by 5% and relations by 3.^^Fish Pond^  Can build in: Village. Base cost: 6000.^  Steward skills: Engineer 1, Spotting 2.^A fish pond increases base income by 10 and village prosperity by 10%.^^Foresters^  Can build in: Village. Base cost: 3000.^  Steward skills: Tracking 4, Pathfinding 3.^Foresters organize the gathering of resources and lumber that increase income by 5 and prosperity by 5%.^^Herbalist^  Can build in: Village. Base cost: 5000.^  Steward skills: First Aid 3, Wound Treatment 3.^An herbalist helps the health of your community, increasing the prosperity by 10% and relations by 5.^^Hospital^  Can build in: Town. Base cost: 10000.^  Steward skills: Tactics 3, Surgery 5, Persuasion 3.^A hospital increases income by 5, prosperity by 10% and relations by 5.^^Hunting Lodge^  Can build in: Village. Base cost: 3000.^  Steward skills: Tracking 3, Pathfinding 3.^A Hunting Lodge sends out hunting parties that increase income by 5 and prosperity by 10%.^^Improved Roads^  Can build in: All. Base cost: 10000.^  Steward skills: Engineer 3, Pathfinding 4.^Improved roads increase base income by 5, prosperity by 20%, and relations by 2.^^Lamplighters^  Can build in: Town. Base cost: 1000.^  Steward skills: Pathfinding 2.^Lamplighters increase prosperity by 2% and relations by 2.^^Manor^  Can build in: Village. Base cost: 8000.^  Steward skills: Engineer 2.^A manor lets you rest at the village, increases prosperity by 10% and increases base income by 10.^^Market^  Can build in: Village, Castle. Base cost: 10000.^  Steward skills: Persuasion 2, Trade 5, Looting 2.^A market increases base income by 50 and prosperity by 50%.^^Messenger Post^  Can build in: All. Base cost: 4000.^  Steward skills: Engineer 2, Pathfinding 2.^A messenger post lets the inhabitants send you a message whenever enemies are nearby, even if you are far away. It also improves relations by 5.^^Mine^  Can build in: All. Base cost: 3000.^  Steward skills: Engineer 4, Tactics 3, Trade 4.^A mine creates direct income based upon the mineral value found during prospecting and increases prosperity by 5%.^^Monastery^  Can build in: All. Base cost: 5000.^  Steward skills: Persuasion 4, Trainer 4.^A Monastery increases income by 5, prosperity by 5% and relations by 5.^^Organized Guilds^  Can build in: Town. Base cost: 15000.^  Steward skills: Trade 5, Tactics 5, Persuasion 5.^Organized Guilds increase base income by 50 and prosperity by 25%.^^Prison Tower^  Can build in: Castle, Town. Base cost: 7000.^  Steward skills: Engineer 2, Prisoner Management 2.^A prison tower reduces the chance of held captives successfully escaping.^^Prospecting (special)^  Can build in: All. Base cost: 1000.^  Steward skills: Engineer 1, Spotting 1.^Hires and sends out a group of prospectors to find minerals and stone around the location.^^Renderers^  Can build in: Village. Base cost: 7000.^  Steward skills: Inventory 2.^Renderers increase direct income by 4 and prosperity by 4%.^^Sanitation Standards^  Can build in: All. Base cost: 3000.^  Steward skills: Tactics 3, Engineer 2, Spotting 2.^Sanitation Standards increase base income by 2, prosperity by 2% and relations by 5.^^School^  Can build in: Village. Base cost: 9000.^  Steward skills: Trainer 2.^A school increases the loyalty of the villagers to you by +1 every week.^^Sheriff^  Can build in: Village. Base cost: 5000.^  Steward skills: Trainer 3, Tracking 2, Tactics 3.^This keeper of order and the law improves prosperity by 10%, relations by 5, influences bandit spawns in the area and sends out militia patrols.^^Shrine^  Can build in: All. Base cost: 3000.^  Steward skills: Persuasion 3, Wound Treatment 3.^A shrine increases the prosperity of the location by 5% and relations by 5. It will also attract pious nobles to your cause.^^Skilled Craftsmen^  Can build in: All. Base cost: 6000.^  Steward skills: Persuasion 2, Tactics 3, Trade 4.^Skilled Craftsmen increases village prosperity by 20% and increases base income by 100. They also allow for independent weekly building repairs.^^Street Sweepers^  Can build in: Town. Base cost: 2000.^  Steward skills: Tracking 2.^Street sweepers increase prosperity by 3% and relations by 3.^^Tax collector office^  Can build in: All. Base cost: 2000.^  Steward skills: Looting 3.^A Tax collector office increases base income at a location by 10, lowers prosperity by 10% and lowers relations by 2.^^Thieves Guild^  Can build in: Town. Base cost: 10000.^  Steward skills: Looting 5, Tactics 5, Persuasion 2.^The Thieves Guild brings the Red Brotherhood into your town, increasing direct income by 20 and prosperity by 15%. It also reduces town relations by 10.^^Town Crier^  Can build in: Town. Base cost: 500.^  Steward skills: Spotting 2.^The Town Crier increases base income by 1, prosperity by 2% and relations by 1.^^Training Grounds^  Can build in: Castle, Town. Base cost: 8000.^  Steward skills: Trainer 4, Weapon Mastery 5.^Training grounds increase the direct income of a location by 3, allows additional training of garrison troops and hiring noble recruits.^^University^  Can build in: Town. Base cost: 10000.^  Steward skills: Engineer 4, Trainer 5, Persuasion 4.^A University increases income by 10, prosperity by 10% and relations by 5.^^Warehouse^  Can build in: Town. Base cost: 3000.^  Steward skills: Inventory 4, Trade 2.^A warehouse increases income by 5 and prosperity by 5%.^^Watch Tower^  Can build in: Village. Base cost: 5000.^  Steward skills: Engineer 1, Spotting 2.^A watch tower lets the villagers raise the alarm earlier. The time it takes for enemies to loot the village increases by 25%. It also improves relations by 5.^^Well Cleaners^  Can build in: Town. Base cost: 2500.^  Steward skills: Spotting 2.^Well Cleaners increase income by 2, prosperity by 2% and relations by 2.^^Winery^  Can build in: Village, Castle. Base cost: 8000.^  Steward skills: Persuasion 3, First Aid 2, Tactics 4.^A Winery increases base income by 50, prosperity by 10% and relations by 3.^^
ip_reference_orders|Reference: Knighthood Orders
ip_reference_orders_text|Order of the Dragon^  Conditions: Player embraces the Ravenstern Culture or in Rane, Honor 15, 25000 denars^  Existing chapter: Rane^  Possible chapter: Ravenstern^  Trains Knights of the Dragon from Ravenstern Knights.^^Order of the Lion^  Conditions: Player embraces the Sarleon Culture or in Sarleon, Honor 10, 30000 denars^  Existing chapter: Sarleon^  Possible chapter: Marleons^  Trains Knights of the Lion from Sarleon Knights.^^Immortals^  Conditions: Player embraces the Empire Culture or in Janos, Honor 10, 25000 denars^  Existing chapter: Janos^  Possible chapter: Ethos^  Trains Empire Immortals from Empire Knights.^^Windriders^  Conditions: Player embraces the D'Shar Culture or in Torbah, Honor 10, 25000 denars^  Existing chapter: Torbah^  Possible chapter: Nal Tar^  Trains D'Shar Windriders from D'Shar Noble Cavalry.^^Lady Valkyrie^  Conditions: Player embraces the Fierdsvain Culture or in Javiksholm, Honor 10, 30000 denars^  Existing chapter: Javiksholm^  Trains Lady Valkyries from Fierdsvain Hersirs.^^Order of the Griffon^  Conditions: Sir Darlion of Pendor in party or your character received letter from father or a Qualis Gem if player embraces the Old Pendor Culture, Honor 20, 25000 denars^  Trains Knights of the Griffon from Pendor Knights.^^Order of the Falcon^  Conditions: Madame Ursula or Sir Rayne in party, Honor 15, 25000 denars^  Possible chapter: Falcondark Castle^  Trains Knights of the Falcon from Maiden Adventures.^^Order of the Raven Spear^  Conditions: Player owns Poinsbruk, Honor 5, 25000 denars^  Existing chapter: Poinsbruk^  Possible chapter: Avendor^  Trains Knights of the Raven Spear from Ravenstern Knights.^^Order of the Radiant Cross^  Conditions: Player owns Ethos, Honor 20, 25000 denars^  Trains Knights of the Radiant Cross from Pendor Knights.^^Order of the Clarion Call^  Conditions: Player embraces the Sarleon Culture or owns Laria, Honor 10, 25000 denars^  Existing chapter: Laria^  Trains Rangers of the Clarion Call from Sarleon Knights.^^Order of the Dawn^  Conditions: Player owns Valonbray, Honor 20, 25000 denars^  Existing chapter: Valonbray^  Trains Knights of the Dawn from Pendor Knights.^^Order of the Ebony Gauntlet^  Conditions: A Qualis Gem, Honor 5, 20000 denars^  Possible chapter: Avendor^  Trains Knights of the Ebony Gauntlet from Pendor Foot Knights.^^Order of the Shadow Legion^  Conditions: A Qualis Gem, Honor 10, 20000 denars^  Existing chapter: Cez^  Trains Shadow Legion Centurions from Empire Knights.^^Order of the Silvermist Rangers^  Conditions: A Qualis Gem, Honor 20, 20000 denars^  Possible chapter: Senderfall^  Trains Silvermist Rangers from Pendor Black Archers.^^Order of Eventide^  Conditions: Sir Alistair in party, Honor -20 or less, 30000 denars^  Existing chapter: Singal^  Trains Knights of Eventide from Pendor Knights.^^Order of the Phoenix^  Conditions: A Qualis Gem, Honor 15, 20000 denars^  Existing chapter: Calendain Castle or Maras Castle or Almerra Castle^  Trains Knights of the Phoenix from Empire Knights.^^Order of the Shadow Wolves^  Conditions: A Qualis Gem, Honor 10, 20000 denars^  Existing chapter: Walven Castle or Savador Castle or Oregar Castle^  Trains Shadow Wolves from Empire Knights.^^Order of the Scorpion Assassins^  Conditions: A Qualis Gem, Honor 5, 20000 denars^  Existing chapter: Ishkoman^  Trains Scorpion Assassins from D'Shar Noble Cavalry.^^Order of the Kraken Riddari^  Conditions: A Qualis Gem, Honor 15, 20000 denars^  Existing chapter: Windholm^  Trains Kraken Riddarar from Fierdsvain Hersirs.^^Your Unique Knighthood Order^  Conditions: A Qualis Gem, Honor 30, 20000 denars^  Trains Order Knights from Knights of your culture.^^
ip_morale|Warband: Morale
ip_morale_text|Morale represents the ability and willingness of the troops in a party to summon up the endurance, bravery, and discipline they need to face the stresses of battle and the march. It is not the same thing as the troops' happiness. Elite troops may grumble and whine about the hardships of campaigning -- but then stand together as one when the arrows start to fly. On the other hand, a commander who gives his men everything they want may find that they grow soft, and waiver before the enemy's charge.^^Morale's greatest impact is on a party's behavior in battle, determining how aggressively troops engage the enemy, and how likely they are to break and run if they perceive the tide of battle turning against them. Morale also affects a party's march speed, as a less motivated party will move more slowly, as the men are not pushing themselves to their physical limit, and pause more frequently, as it waits for stragglers to catch up. Finally, a party with very low morale will start to suffer desertions.^^Some factors that affect morale are intuitive. For example, a charismatic commander with a reputation for winning battles can infuse his or her men with a sense of confidence. Leaders who give their men well ample and varied supplies of food, and pay them on time, demonstrate that they care about their troops' welfare, and are less likely to lead them into disaster.^^Other factors are less intuitive -- particularly those related to a party's sense of group cohesion. In a small tight-knit party, for example, men will often fight hard against daunting odds to avoid showing cowardice before their comrades-in-arms. A large party on the other hand may see its cohesion strained, as the commander has less time to supervise the men, listen to their grievances, and resolve their disputes. Frequent battles will strengthen the bonds between men, while long periods without combat will see the troops become bored and quarrelsome.^^The morale report, accessibly by hitting the 'reports' button will give the player a sense of the factors affecting his or her men's morale.
ip_economy|Warband: Economy
ip_economy_text|Towns and villages in Pendor need a wide variety of goods for their populations to remain healthy and productive. First in importance is food. Grain is the staple crop of Pendor, but people also need fat and protein in the form of meat, fish, or cheese. It takes almost as much work to preserve meat as to produce it in the first place, so salt is also in high demand. After food comes clothing: heavy wool, lighter linens, or luxurious velvet. Finally, people need the tools of their trade: ironware, pottery, leatherware, and, of course, arms, armor, and horses for war.^^Most agricultural products are produced in the villages, while artisans in the towns specialize in manufactured or artisanal goods like fabrics or ironware. Also, different resources can be found in different parts of the country. Consequently, the key to prosperity in Pendor is trade -- both between the villages and the towns, and between the major towns themselves.^^When trade flows, goods will be available and affordable, the population of a center will be healthy and energetic, and migrants will flock from the nearby regions. The center will produce more, consume more, and be able to contribute more in taxes to their lords. When trade dries up, towns and villages will see their workers flee to seek work elsewhere, and economic activity will drift to a stand-still. Thus, it is in the interests of rulers to protect trade routes from the hazards of war and banditry. A smart merchant, however, may want to seek out towns which have become isolated from the rest of the land, as he or she may be able to turn a tidy profit from the resulting price imbalances.^^Because villagers usually plan to take their goods to market in towns, village markets will be rather quiet places, and villagers will buy cheap and sell dear. Serious merchants will stick to the towns to make a profit, although some parties may decide to make a quick stop in a village to acquire supplies.^^A player who wants to know about the factors affecting a region's prosperity can speak to the guildmaster of the local town. Other information can be gleaned from passers-by, although they might not know very much outside of their own particular trade.
ip_courtship|Warband: Courtship
ip_courtship_text|Players may wish to marry into one of Pendor's noble families. Marriage is not necessary for a player to rise in power and stature, but it does provide players with an opportunity to improve their relation with lords and establish a claim to the throne.^^Marriage requirements will be different for males and females. A male character will usually need to pursue a traditional path of courtship. He should establish a reputation in Pendorian aristocratic society, get on good terms with his bride's parents or guardians, and then woo the lady according to local custom. If a player grows impatient, he may attempt to take a shortcut -- but there will be consequences in his relations with other lords.^^A male character should keep in mind that other lords will be competing with him for the affections of the kingdom's ladies. Also, a lady's tastes are unpredictable, and a player may also find that the object of his love does not love him in return. Romance, in Pendor as elsewhere, does not always prosper. Of course, a player may resort to other, less gentlemanly means of winning a lady's heart, but again, that will have a serious impact on his reputation.^^To get started on the path of courtship, a male player should try to get involved in the social life of the Pendorian aristocracy, attending feasts and tournaments. Also, wandering troubadours and poets can serve as a useful repository of information on courtship, and keep the player up to date about the latest gossip.^^Female characters can also marry -- but they should keep in mind that Pendorian society is very traditional, and, as adventurers, they have chosen a very unconventional path for a woman. A female character may have to look for a while to find a lord who is open-minded enough to marry her.^^On the bright side, a female character does not have to go through the elaborate rituals of courtship, and she also may gain more from a marriage than her male counterpart. For a woman adventurer, marriage can be a quick path to power -- and an unscrupulous character may be able to use her husband as a tool of her political ambitions.
ip_politics|Warband: Politics
